ids	Logic_board_fail	IO_board_fail	System_State	Rework_Decision	Rework_Outcome	Rework_Cost
339	1	0	0	1	1	225
340	0	0	1	1	0	300
341	1	0	0	0	1	175
342	1	0	0	1	1	225
343	1	0	0	1	1	225
344	1	0	0	1	1	225
345	1	0	0	1	1	225
346	1	0	0	1	1	225
347	0	0	1	0	0	300
348	0	0	1	1	0	300
349	1	0	0	1	1	225
350	0	0	1	0	0	300
351	1	0	0	1	1	225
352	1	0	0	1	1	225
353	0	0	1	0	0	300
354	1	1	0	1	0	300
355	1	0	0	1	1	225
356	1	0	0	0	1	175
357	1	0	0	1	1	225
358	1	0	0	0	1	175
359	1	0	0	0	1	175
360	1	0	0	0	1	175
361	1	0	0	0	1	175
362	1	0	0	0	1	175
363	1	0	0	1	1	225
364	1	0	0	0	1	175
365	1	0	0	0	1	175
366	1	0	0	0	1	175
367	0	0	1	0	0	300
368	1	1	0	1	0	300
369	1	0	0	1	1	225
370	1	0	0	1	1	225
371	1	0	0	0	1	175
372	0	0	1	0	0	300
373	1	0	0	0	1	175
374	1	0	0	0	1	175
375	1	0	0	0	1	175
376	1	0	0	1	1	225
377	1	1	0	0	0	300
378	0	0	1	0	0	300
379	1	0	0	0	1	175
380	1	0	0	1	1	225
381	1	0	0	1	1	225
382	1	0	0	1	1	225
383	1	0	0	0	1	175
384	1	0	0	0	1	175
385	1	1	0	0	0	300
386	1	0	0	1	1	225
387	1	1	0	0	0	300
388	1	0	0	0	1	175
389	1	0	0	1	1	225
390	1	0	0	1	1	225
391	1	1	0	0	0	300
392	1	0	0	0	1	175
393	1	0	0	0	1	175
394	1	0	0	1	1	225
395	1	0	0	1	1	225
396	1	0	0	0	1	175
397	1	0	0	0	1	175
398	1	0	0	0	1	175
399	1	0	0	1	1	225
400	1	0	0	0	1	175
401	1	0	0	1	1	225
402	1	0	0	0	1	175
403	1	0	0	0	1	175
404	1	0	0	1	1	225
405	1	0	0	0	1	175
406	1	0	0	1	1	225
407	1	0	0	1	1	225
408	1	0	0	0	1	175
409	1	0	0	1	1	225
410	1	0	0	0	1	175
411	1	0	0	1	1	225
412	1	0	0	0	1	175
413	1	0	0	1	1	225
414	1	0	0	0	1	175
415	1	0	0	0	1	175
416	0	1	0	0	2	200
417	0	0	1	0	0	300
418	1	1	0	0	0	300
419	1	1	0	0	0	300
420	1	0	0	1	1	225
421	1	0	0	1	1	225
422	1	0	0	0	1	175
423	0	0	1	0	0	300
424	1	0	0	0	1	175
425	1	0	0	0	1	175
426	0	1	0	0	2	200
427	0	0	1	0	0	300
428	1	0	0	0	1	175
429	1	0	0	0	1	175
430	1	1	0	0	0	300
431	0	0	1	0	0	300
432	1	0	0	1	1	225
433	1	1	0	1	0	300
434	1	0	0	1	1	225
435	1	0	0	0	1	175
436	1	0	0	0	1	175
437	1	1	0	1	0	300
438	1	0	0	0	1	175
439	0	0	1	1	0	300
440	1	0	0	0	1	175
441	1	0	0	0	1	175
442	1	0	0	0	1	175
443	0	0	1	0	0	300
444	1	0	0	0	1	175
445	0	0	1	1	0	300
446	1	0	0	0	1	175
447	1	0	0	0	1	175
448	1	0	0	0	1	175
449	1	0	0	0	1	175
450	1	0	0	0	1	175
451	1	0	0	1	1	225
452	1	0	0	1	1	225
453	1	1	0	0	0	300
454	1	0	0	1	1	225
455	0	0	1	1	0	300
456	1	0	0	1	1	225
457	1	0	0	1	1	225
458	0	0	1	0	0	300
459	1	0	0	1	1	225
460	1	0	0	1	1	225
461	1	0	0	0	1	175
462	1	0	0	1	1	225
463	1	0	0	1	1	225
464	1	1	0	0	0	300
465	1	1	0	1	0	300
466	1	1	0	1	0	300
467	1	1	0	0	0	300
468	0	0	1	0	0	300
469	1	1	0	0	0	300
470	0	1	0	0	2	200
471	1	1	0	0	0	300
472	1	0	0	0	1	175
473	1	0	0	1	1	225
474	1	0	0	1	1	225
475	1	0	0	0	1	175
476	1	0	0	1	1	225
477	1	0	0	0	1	175
478	1	0	0	1	1	225
479	1	0	0	0	1	175
480	1	0	0	1	1	225
481	1	0	0	1	1	225
482	1	0	0	1	1	225
483	1	0	0	0	1	175
484	1	0	0	0	1	175
485	1	0	0	0	1	175
486	1	1	0	0	0	300
487	0	0	1	0	0	300
488	1	0	0	0	1	175
489	1	0	0	0	1	175
490	0	0	1	0	0	300
491	1	0	0	1	1	225
492	1	0	0	0	1	175
493	1	0	0	1	1	225
494	1	0	0	1	1	225
495	1	0	0	1	1	225
496	1	0	0	0	1	175
497	1	0	0	0	1	175
498	1	0	0	1	1	225
499	1	0	0	1	1	225
500	1	1	0	1	0	300
501	0	1	0	1	2	125
502	1	0	0	0	1	175
503	1	0	0	0	1	175
504	1	0	0	0	1	175
505	1	1	0	0	0	300
506	1	0	0	0	1	175
507	1	0	0	0	1	175
508	1	0	0	0	1	175
509	1	0	0	0	1	175
510	1	0	0	1	1	225
511	1	0	0	0	1	175
512	1	0	0	0	1	175
513	1	0	0	0	1	175
514	1	0	0	1	1	225
515	1	0	0	1	1	225
516	1	1	0	0	0	300
517	1	0	0	1	1	225
518	1	0	0	1	1	225
519	0	1	0	1	2	125
520	1	0	0	1	1	225
521	1	0	0	0	1	175
522	0	0	1	1	0	300
523	0	1	0	1	2	125
524	1	0	0	1	1	225
525	1	0	0	1	1	225
526	1	0	0	1	1	225
527	1	0	0	0	1	175
528	1	0	0	0	1	175
529	1	1	0	1	0	300
530	1	0	0	0	1	175
531	1	0	0	0	1	175
532	1	0	0	0	1	175
533	1	0	0	0	1	175
534	1	0	0	1	1	225
535	1	0	0	0	1	175
536	1	0	0	1	1	225
537	1	1	0	0	0	300
538	1	0	0	1	1	225
539	1	0	0	1	1	225
540	1	0	0	0	1	175
541	1	0	0	0	1	175
542	1	0	0	1	1	225
543	1	0	0	1	1	225
544	1	0	0	0	1	175
545	1	1	0	0	0	300
546	0	0	1	0	0	300
547	1	0	0	1	1	225
548	1	0	0	0	1	175
549	1	0	0	0	1	175
550	0	0	1	0	0	300
551	1	0	0	0	1	175
552	1	0	0	0	1	175
553	0	0	1	0	0	300
554	0	0	1	0	0	300
555	1	1	0	1	0	300
556	1	0	0	0	1	175
557	1	0	0	0	1	175
558	1	0	0	1	1	225
559	1	0	0	1	1	225
560	1	1	0	0	0	300
561	1	0	0	1	1	225
562	1	1	0	1	0	300
563	1	0	0	0	1	175
564	0	0	1	0	0	300
565	1	0	0	0	1	175
566	1	0	0	1	1	225
567	1	0	0	1	1	225
568	1	0	0	0	1	175
569	1	0	0	0	1	175
570	1	1	0	1	0	300
571	1	0	0	1	1	225
572	1	0	0	0	1	175
573	1	0	0	0	1	175
574	1	0	0	1	1	225
575	1	0	0	0	1	175
576	1	0	0	1	1	225
577	1	0	0	0	1	175
578	1	1	0	1	0	300
579	1	0	0	0	1	175
580	1	0	0	0	1	175
581	1	0	0	0	1	175
582	1	0	0	1	1	225
583	1	0	0	1	1	225
584	0	0	1	0	0	300
585	1	1	0	1	0	300
586	0	0	1	1	0	300
587	1	0	0	1	1	225
588	1	0	0	0	1	175
589	1	1	0	0	0	300
590	1	0	0	1	1	225
591	1	0	0	1	1	225
592	1	1	0	1	0	300
593	1	1	0	0	0	300
594	1	0	0	1	1	225
595	1	0	0	0	1	175
596	1	0	0	0	1	175
597	0	0	1	1	0	300
598	1	0	0	1	1	225
599	0	0	1	1	0	300
600	1	0	0	1	1	225
601	1	0	0	0	1	175
602	1	1	0	0	0	300
603	1	0	0	1	1	225
604	1	0	0	0	1	175
605	1	0	0	1	1	225
606	1	0	0	0	1	175
607	1	0	0	0	1	175
608	1	0	0	1	1	225
609	1	0	0	0	1	175
610	1	0	0	0	1	175
611	1	0	0	1	1	225
612	1	0	0	1	1	225
613	1	0	0	0	1	175
614	1	0	0	1	1	225
615	1	0	0	0	1	175
616	1	1	0	1	0	300
617	1	0	0	0	1	175
618	1	1	0	1	0	300
619	1	0	0	0	1	175
620	1	0	0	0	1	175
621	1	0	0	0	1	175
622	1	0	0	1	1	225
623	1	1	0	1	0	300
624	1	0	0	0	1	175
625	1	0	0	0	1	175
626	1	0	0	1	1	225
627	1	1	0	1	0	300
628	1	0	0	1	1	225
629	1	1	0	1	0	300
630	1	0	0	0	1	175
631	0	1	0	1	2	125
632	1	0	0	0	1	175
633	0	0	1	1	0	300
634	1	0	0	1	1	225
635	1	0	0	0	1	175
636	1	0	0	0	1	175
637	1	0	0	1	1	225
638	1	0	0	0	1	175
639	1	0	0	1	1	225
640	1	0	0	1	1	225
641	0	0	1	0	0	300
642	1	0	0	1	1	225
643	1	1	0	0	0	300
644	1	0	0	0	1	175
645	1	0	0	1	1	225
646	1	0	0	1	1	225
647	1	0	0	0	1	175
648	1	0	0	1	1	225
649	0	0	1	0	0	300
650	1	1	0	0	0	300
651	1	0	0	1	1	225
652	1	0	0	1	1	225
653	1	0	0	1	1	225
654	1	0	0	1	1	225
655	0	0	1	1	0	300
656	1	0	0	0	1	175
657	1	0	0	0	1	175
658	1	0	0	1	1	225
659	1	0	0	1	1	225
660	0	0	1	1	0	300
661	1	0	0	1	1	225
662	1	0	0	1	1	225
663	1	0	0	1	1	225
664	1	0	0	1	1	225
665	1	1	0	0	0	300
666	1	0	0	0	1	175
667	1	0	0	0	1	175
668	1	0	0	0	1	175
669	1	0	0	0	1	175
670	1	0	0	1	1	225
671	1	0	0	1	1	225
672	1	0	0	1	1	225
673	1	0	0	1	1	225
674	1	0	0	0	1	175
675	1	0	0	0	1	175
676	1	0	0	1	1	225
677	1	0	0	1	1	225
678	1	0	0	1	1	225
679	1	0	0	0	1	175
680	1	0	0	0	1	175
681	1	0	0	1	1	225
682	1	0	0	0	1	175
683	1	0	0	0	1	175
684	1	0	0	0	1	175
685	0	0	1	0	0	300
686	1	0	0	1	1	225
687	1	0	0	0	1	175
688	1	0	0	1	1	225
689	0	0	1	0	0	300
690	1	1	0	1	0	300
691	1	0	0	0	1	175
692	1	0	0	0	1	175
693	1	0	0	1	1	225
694	0	0	1	1	0	300
695	1	0	0	1	1	225
696	0	0	1	1	0	300
697	0	0	1	0	0	300
698	1	0	0	0	1	175
699	1	0	0	1	1	225
700	1	0	0	0	1	175
701	0	0	1	0	0	300
702	1	1	0	1	0	300
703	1	0	0	0	1	175
704	0	0	1	0	0	300
705	1	0	0	0	1	175
706	1	0	0	1	1	225
707	1	0	0	1	1	225
708	1	0	0	1	1	225
709	0	0	1	1	0	300
710	1	0	0	1	1	225
711	1	1	0	1	0	300
712	1	0	0	1	1	225
713	1	1	0	1	0	300
714	1	0	0	0	1	175
715	1	0	0	1	1	225
716	1	1	0	1	0	300
717	1	0	0	0	1	175
718	1	0	0	0	1	175
719	1	0	0	1	1	225
720	1	0	0	1	1	225
721	1	0	0	1	1	225
722	0	0	1	1	0	300
723	0	0	1	1	0	300
724	1	0	0	1	1	225
725	1	0	0	0	1	175
726	0	1	0	1	2	125
727	0	0	1	1	0	300
728	1	0	0	0	1	175
729	1	0	0	0	1	175
730	1	0	0	1	1	225
731	1	0	0	0	1	175
732	0	0	1	1	0	300
733	0	1	0	0	2	200
734	1	0	0	0	1	175
735	1	0	0	1	1	225
736	1	0	0	0	1	175
737	1	0	0	1	1	225
738	1	0	0	1	1	225
739	1	0	0	0	1	175
740	1	0	0	1	1	225
741	0	0	1	0	0	300
742	0	1	0	1	2	125
743	1	1	0	0	0	300
744	1	1	0	1	0	300
745	1	1	0	1	0	300
746	1	0	0	0	1	175
747	1	0	0	0	1	175
748	1	0	0	1	1	225
749	1	0	0	0	1	175
750	1	0	0	0	1	175
751	1	0	0	1	1	225
752	1	0	0	0	1	175
753	1	0	0	1	1	225
754	1	0	0	1	1	225
755	0	0	1	1	0	300
756	1	1	0	0	0	300
757	1	1	0	0	0	300
758	0	0	1	0	0	300
759	1	0	0	0	1	175
760	1	0	0	0	1	175
761	1	0	0	0	1	175
762	1	0	0	1	1	225
763	1	0	0	1	1	225
764	1	0	0	1	1	225
765	1	0	0	1	1	225
766	1	0	0	1	1	225
767	1	1	0	1	0	300
768	1	0	0	1	1	225
769	1	0	0	1	1	225
770	1	0	0	1	1	225
771	1	1	0	0	0	300
772	1	0	0	0	1	175
773	0	0	1	1	0	300
774	1	0	0	0	1	175
775	0	0	1	1	0	300
776	1	0	0	1	1	225
777	0	0	1	0	0	300
778	0	0	1	1	0	300
779	1	0	0	1	1	225
780	1	0	0	0	1	175
781	1	1	0	0	0	300
782	1	0	0	1	1	225
783	1	0	0	1	1	225
784	1	0	0	1	1	225
785	1	1	0	0	0	300
786	1	0	0	0	1	175
787	1	0	0	0	1	175
788	0	0	1	1	0	300
789	1	1	0	1	0	300
790	0	0	1	1	0	300
791	1	1	0	1	0	300
792	1	0	0	1	1	225
793	0	0	1	1	0	300
794	1	0	0	0	1	175
795	1	0	0	0	1	175
796	1	0	0	0	1	175
797	0	0	1	0	0	300
798	1	0	0	1	1	225
799	1	0	0	1	1	225
800	1	0	0	0	1	175
801	1	0	0	1	1	225
802	1	1	0	0	0	300
803	1	0	0	0	1	175
804	1	0	0	0	1	175
805	1	0	0	0	1	175
806	1	0	0	1	1	225
807	1	0	0	1	1	225
808	1	0	0	1	1	225
809	1	0	0	0	1	175
810	1	0	0	1	1	225
811	1	0	0	0	1	175
812	1	0	0	0	1	175
813	1	0	0	0	1	175
814	1	0	0	0	1	175
815	1	0	0	0	1	175
816	1	0	0	0	1	175
817	1	1	0	1	0	300
818	0	0	1	0	0	300
819	1	0	0	1	1	225
820	1	0	0	0	1	175
821	1	0	0	1	1	225
822	0	0	1	1	0	300
823	1	0	0	1	1	225
824	1	0	0	0	1	175
825	1	0	0	0	1	175
826	1	0	0	0	1	175
827	1	1	0	0	0	300
828	1	0	0	1	1	225
829	1	0	0	1	1	225
830	0	0	1	1	0	300
831	1	0	0	0	1	175
832	0	0	1	1	0	300
833	1	1	0	0	0	300
834	1	0	0	0	1	175
835	0	1	0	1	2	125
836	1	0	0	1	1	225
837	1	0	0	0	1	175
838	1	0	0	1	1	225
839	1	0	0	0	1	175
840	1	1	0	1	0	300
841	1	0	0	0	1	175
842	1	0	0	1	1	225
843	0	0	1	0	0	300
844	1	0	0	1	1	225
845	1	0	0	0	1	175
846	1	1	0	1	0	300
847	1	1	0	0	0	300
848	1	0	0	0	1	175
849	1	0	0	1	1	225
850	1	1	0	1	0	300
851	1	0	0	0	1	175
852	1	0	0	0	1	175
853	1	0	0	0	1	175
854	1	0	0	1	1	225
855	0	0	1	1	0	300
856	1	0	0	1	1	225
857	1	0	0	0	1	175
858	1	0	0	0	1	175
859	1	0	0	0	1	175
860	1	0	0	0	1	175
861	1	0	0	1	1	225
862	0	1	0	0	2	200
863	1	0	0	0	1	175
864	1	0	0	1	1	225
865	1	1	0	0	0	300
866	1	0	0	0	1	175
867	1	0	0	0	1	175
868	1	0	0	1	1	225
869	0	0	1	0	0	300
870	1	0	0	1	1	225
871	1	0	0	1	1	225
872	1	0	0	1	1	225
873	1	0	0	1	1	225
874	1	1	0	0	0	300
875	1	0	0	1	1	225
876	1	0	0	1	1	225
877	0	0	1	1	0	300
878	1	1	0	0	0	300
879	1	0	0	1	1	225
880	1	0	0	0	1	175
881	1	0	0	0	1	175
882	1	0	0	0	1	175
883	1	1	0	0	0	300
884	1	1	0	1	0	300
885	1	0	0	1	1	225
886	1	0	0	1	1	225
887	1	1	0	0	0	300
888	1	1	0	0	0	300
889	1	1	0	0	0	300
890	1	0	0	1	1	225
891	0	0	1	0	0	300
892	1	0	0	0	1	175
893	1	1	0	0	0	300
894	0	0	1	0	0	300
895	1	0	0	0	1	175
896	1	1	0	1	0	300
897	1	0	0	0	1	175
898	1	0	0	0	1	175
899	1	0	0	0	1	175
900	1	0	0	0	1	175
901	1	0	0	0	1	175
902	1	0	0	0	1	175
903	1	1	0	1	0	300
904	0	0	1	0	0	300
905	1	1	0	1	0	300
906	1	1	0	0	0	300
907	0	0	1	0	0	300
908	1	0	0	0	1	175
909	1	0	0	0	1	175
910	1	0	0	1	1	225
911	1	0	0	0	1	175
912	1	0	0	1	1	225
913	1	0	0	0	1	175
914	0	1	0	1	2	125
915	1	1	0	1	0	300
916	1	1	0	1	0	300
917	1	0	0	0	1	175
918	1	0	0	1	1	225
919	1	0	0	0	1	175
920	1	0	0	0	1	175
921	1	1	0	1	0	300
922	0	0	1	1	0	300
923	1	0	0	1	1	225
924	1	0	0	1	1	225
925	1	0	0	0	1	175
926	1	1	0	1	0	300
927	1	1	0	0	0	300
928	1	0	0	0	1	175
929	0	0	1	1	0	300
930	0	0	1	1	0	300
931	0	0	1	1	0	300
932	1	0	0	1	1	225
933	1	0	0	0	1	175
934	1	0	0	1	1	225
935	1	0	0	0	1	175
936	1	0	0	1	1	225
937	1	0	0	0	1	175
938	1	0	0	0	1	175
939	1	0	0	1	1	225
940	1	0	0	1	1	225
941	1	0	0	1	1	225
942	1	0	0	1	1	225
943	0	0	1	0	0	300
944	1	0	0	0	1	175
945	1	0	0	1	1	225
946	1	1	0	1	0	300
947	1	0	0	1	1	225
948	1	0	0	0	1	175
949	1	0	0	0	1	175
950	1	1	0	1	0	300
951	1	0	0	1	1	225
952	1	0	0	1	1	225
953	1	1	0	1	0	300
954	1	0	0	1	1	225
955	0	0	1	0	0	300
956	1	0	0	1	1	225
957	1	0	0	0	1	175
958	0	1	0	0	2	200
959	1	0	0	0	1	175
960	1	0	0	0	1	175
961	0	1	0	0	2	200
962	1	0	0	0	1	175
963	1	0	0	0	1	175
964	0	0	1	0	0	300
965	1	0	0	1	1	225
966	1	0	0	1	1	225
967	1	0	0	1	1	225
968	0	0	1	0	0	300
969	1	1	0	0	0	300
970	1	0	0	1	1	225
971	1	0	0	0	1	175
972	1	1	0	0	0	300
973	0	1	0	1	2	125
974	1	0	0	1	1	225
975	1	0	0	1	1	225
976	1	0	0	0	1	175
977	1	0	0	0	1	175
978	1	1	0	1	0	300
979	1	1	0	0	0	300
980	0	0	1	1	0	300
981	1	0	0	1	1	225
982	1	0	0	0	1	175
983	1	0	0	1	1	225
984	1	0	0	1	1	225
985	0	0	1	1	0	300
986	1	0	0	0	1	175
987	1	0	0	0	1	175
988	1	0	0	1	1	225
989	1	0	0	1	1	225
990	1	0	0	0	1	175
991	0	1	0	0	2	200
992	1	0	0	0	1	175
993	1	1	0	1	0	300
