 IDnum	Cloudy	Sprinkler	Rain	WetGrass
281	1	0	1	1
282	0	0	0	0
283	0	0	1	1
284	1	0	1	1
285	1	0	1	1
286	1	0	1	1
287	0	1	0	1
288	0	1	1	1
289	1	0	1	1
290	1	0	0	0
291	1	0	1	1
292	1	0	0	0
293	1	0	1	1
294	1	0	1	1
295	0	1	1	1
296	0	0	1	1
297	0	1	0	1
298	1	0	1	1
299	0	0	0	0
300	1	0	0	0
301	1	0	1	1
302	0	1	0	1
303	1	0	1	1
304	1	0	1	0
305	0	0	0	0
306	0	0	0	0
307	1	0	1	1
308	0	0	0	0
309	1	0	1	1
310	1	0	1	1
311	0	0	0	0
312	0	0	0	0
313	0	1	0	1
314	1	0	1	1
315	0	0	0	0
316	1	0	1	0
317	1	0	1	1
318	1	0	1	1
319	0	1	1	1
320	1	0	0	0
321	0	0	0	0
322	0	1	0	0
323	0	1	0	1
324	1	0	1	1
325	1	1	1	1
326	1	0	1	1
327	0	1	1	1
328	0	1	0	1
329	1	0	0	0
330	0	0	0	0
331	0	1	0	1
332	0	0	0	0
333	0	1	0	1
334	1	0	1	1
335	1	0	0	0
336	0	0	1	1
337	1	1	1	1
338	1	0	0	0
339	0	1	0	1
340	0	0	0	0
341	1	0	1	1
342	0	0	0	0
343	1	0	1	0
344	0	1	0	1
345	0	0	0	0
346	1	0	1	1
347	1	0	1	1
348	0	0	0	0
349	1	0	1	1
350	0	0	1	1
351	1	0	1	1
352	1	0	0	0
353	0	1	0	1
354	1	1	1	1
355	1	0	1	1
356	1	0	1	1
357	0	0	1	1
358	0	1	0	0
359	0	1	0	1
360	1	0	1	1
361	1	0	0	0
362	1	1	1	1
363	1	0	1	1
364	1	0	1	1
365	0	1	0	0
366	0	1	0	1
367	1	0	0	0
368	1	0	0	0
369	1	0	1	1
370	0	0	0	0
371	1	0	1	1
372	1	0	1	1
373	0	0	0	0
374	1	1	1	1
375	1	0	1	1
376	1	0	1	1
377	1	0	1	1
378	1	0	1	1
379	0	0	1	1
380	1	0	1	1
381	1	0	1	1
382	1	1	1	1
383	1	0	1	1
384	0	1	0	0
385	0	0	1	1
386	1	0	1	1
387	0	0	1	1
388	1	0	1	1
389	1	0	1	1
390	1	0	1	1
391	1	0	1	1
392	0	1	0	1
393	1	0	1	1
394	0	1	1	1
395	1	0	1	1
396	0	0	0	0
397	1	0	0	0
398	1	0	1	1
399	0	0	0	0
400	0	1	0	1
401	1	0	1	0
402	1	0	0	0
403	0	0	0	0
404	0	0	1	1
405	0	0	0	0
406	1	0	0	0
407	1	0	1	1
408	1	0	0	0
409	0	0	0	0
410	1	1	1	1
411	0	1	1	1
412	0	1	0	0
413	1	0	1	1
414	0	0	0	0
415	1	0	0	0
416	1	0	1	0
417	1	1	1	1
418	0	1	0	1
419	1	0	1	1
420	1	0	1	1
421	1	0	1	1
422	0	1	0	0
423	1	1	1	1
424	1	0	1	1
425	1	0	1	1
426	1	0	1	1
427	1	0	0	0
428	1	0	0	0
429	1	0	1	1
430	0	0	0	0
431	0	1	0	1
432	1	0	1	1
433	1	0	0	0
434	1	0	1	1
435	0	1	0	1
436	0	1	1	1
437	1	0	1	1
438	1	0	1	1
439	1	0	1	1
440	0	1	0	1
441	1	0	1	1
442	1	0	0	0
443	1	0	1	1
444	0	0	0	0
445	1	0	1	1
446	1	0	1	1
447	1	1	1	1
448	0	0	0	0
449	1	0	1	1
450	1	0	0	0
451	1	0	1	1
452	1	0	1	1
453	0	1	0	1
454	0	0	0	0
455	0	1	0	1
456	1	1	0	1
457	0	1	0	1
458	0	1	0	1
459	1	0	1	1
460	1	0	0	0
461	1	0	1	1
462	1	0	1	1
463	1	0	0	0
464	1	0	1	0
465	0	1	0	1
466	1	0	1	1
467	1	0	1	1
468	0	0	0	0
469	0	1	0	1
470	0	1	0	1
471	0	0	1	1
472	1	0	1	1
473	0	0	1	1
474	1	0	1	1
475	1	0	1	1
476	1	0	1	1
477	1	0	1	1
478	0	1	1	1
479	0	1	0	1
480	1	0	1	1
481	1	1	1	1
482	1	0	1	1
483	1	0	1	1
484	1	0	1	1
485	0	0	1	1
486	0	0	1	1
487	1	0	1	1
488	1	1	1	1
489	1	0	1	1
490	1	0	1	1
491	0	0	0	0
492	1	0	1	1
493	1	0	1	1
494	1	0	0	0
495	1	0	1	1
496	0	0	1	1
497	1	0	1	1
498	0	0	0	0
499	0	1	0	1
500	1	0	1	1
501	0	0	0	0
502	0	1	0	1
503	1	0	1	1
504	1	1	1	1
505	1	1	1	1
506	1	0	0	0
507	1	0	1	1
508	0	0	0	0
509	1	0	1	1
510	1	0	1	1
511	0	1	0	1
512	1	0	1	1
513	1	0	1	1
514	1	0	1	1
515	0	1	0	1
516	0	1	0	1
517	0	1	1	1
518	0	0	0	0
519	1	1	0	1
520	1	0	0	0
521	1	0	1	1
522	1	0	1	1
523	0	0	0	0
524	0	0	0	0
525	1	0	1	1
526	0	0	0	0
527	1	0	1	1
528	0	0	0	0
529	1	0	1	1
530	0	1	0	1
531	0	1	0	1
532	1	0	1	1
533	0	1	0	1
534	0	1	0	1
535	0	0	0	0
536	0	1	0	1
537	0	1	0	1
538	1	0	0	0
539	0	1	0	1
540	1	0	0	0
541	1	0	1	0
542	1	0	1	1
543	0	1	0	1
544	0	1	0	1
545	0	1	0	1
546	1	0	1	1
547	0	0	0	0
548	0	1	0	1
549	1	0	1	1
550	0	1	0	0
551	0	0	0	0
552	1	0	1	1
553	1	0	1	1
554	0	1	0	1
555	1	0	0	0
556	0	1	0	1
557	1	0	1	1
558	0	0	0	0
559	0	1	0	1
560	1	0	1	1
561	1	0	1	1
562	0	1	1	1
563	0	1	1	1
564	1	0	1	0
565	0	1	0	1
566	1	0	1	1
567	0	1	0	0
568	0	0	0	0
569	1	0	1	1
570	0	1	0	1
571	1	0	1	1
572	0	0	0	0
573	1	0	1	1
574	1	0	1	1
575	0	1	0	1
576	0	0	0	0
577	1	0	1	1
578	1	1	1	1
579	1	1	1	1
580	0	0	1	1
581	1	0	1	1
582	0	0	0	0
583	0	0	0	0
584	1	0	1	0
585	1	0	1	1
586	1	0	1	0
587	1	0	1	1
588	0	0	0	0
589	1	0	1	1
590	0	1	0	1
591	0	0	0	0
592	0	0	0	0
593	0	1	0	0
594	0	0	0	0
595	0	0	0	0
596	0	0	0	0
597	1	0	1	1
598	0	1	0	1
599	1	0	0	0
600	1	0	1	1
601	1	0	1	1
602	0	0	0	0
603	1	0	1	1
604	1	0	0	0
605	1	0	1	1
606	0	0	0	0
607	1	0	1	1
608	0	0	0	0
609	1	0	1	1
610	0	0	0	0
611	0	1	0	1
612	0	0	0	0
613	1	0	1	1
614	0	1	0	1
615	0	0	0	0
616	1	0	1	1
617	0	0	0	0
618	1	0	1	1
619	0	0	0	0
620	0	0	0	0
621	0	0	1	1
622	0	0	0	0
623	0	1	1	1
624	1	1	1	1
625	1	0	1	1
626	0	1	1	1
627	1	0	1	1
628	1	0	1	1
629	1	0	1	1
630	0	1	0	1
631	1	0	0	0
632	0	0	0	0
633	1	0	1	1
634	0	1	0	1
635	0	0	0	0
636	0	0	0	0
637	1	0	1	1
638	0	0	0	0
639	0	0	0	0
640	0	0	1	1
641	1	0	1	1
642	1	0	1	1
643	0	1	0	1
644	1	0	1	1
645	1	0	1	1
646	1	0	1	1
647	1	0	0	0
648	0	1	0	1
649	1	0	1	1
650	1	0	1	1
651	0	1	1	1
652	1	0	1	1
653	1	0	0	0
654	1	0	0	0
655	0	0	0	0
656	1	0	1	1
657	0	0	0	0
658	1	0	1	1
659	0	1	0	1
660	0	1	0	1
661	0	0	1	1
662	1	1	0	1
663	0	1	0	1
664	0	1	0	1
665	1	0	1	1
666	0	1	0	1
667	1	0	1	1
668	0	1	0	0
669	0	0	0	0
670	1	0	1	0
671	0	1	0	1
672	1	0	1	1
673	1	0	1	1
674	1	1	1	1
675	0	0	0	0
676	1	0	1	1
677	0	1	1	1
678	1	0	1	1
679	0	1	0	0
680	0	1	0	1
681	0	0	0	0
682	0	0	0	0
683	0	1	0	0
684	1	1	0	1
685	1	0	1	1
686	0	0	0	0
687	1	0	1	1
688	1	0	1	1
689	1	0	0	0
690	1	0	1	1
691	0	1	0	1
692	1	0	1	1
693	1	1	1	1
694	0	0	1	1
695	1	0	1	1
696	0	1	0	1
697	0	0	0	0
698	0	0	0	0
699	1	0	1	1
700	0	0	0	0
701	0	1	0	1
702	0	0	0	0
703	0	0	1	1
704	0	0	0	0
705	1	1	1	1
706	1	0	1	1
707	0	1	1	1
708	0	1	1	1
709	1	0	1	1
710	0	1	0	1
711	1	0	1	0
712	0	0	0	0
713	0	1	0	1
714	1	0	1	1
715	1	0	0	0
716	1	0	1	1
717	1	0	0	0
718	1	0	1	1
719	0	1	0	1
720	0	0	0	0
721	1	1	1	1
722	1	0	1	1
723	0	0	0	0
724	0	1	0	1
725	0	0	1	1
726	0	1	0	0
727	0	0	0	0
728	0	1	0	1
729	1	0	0	0
730	0	1	0	1
731	0	1	1	1
732	0	0	0	0
733	1	0	1	1
734	1	0	1	1
735	0	0	0	0
736	1	0	0	0
737	1	0	1	0
738	1	1	1	1
739	0	1	0	1
740	1	0	1	1
741	1	0	0	0
742	1	0	1	1
743	0	1	0	1
744	0	0	0	0
745	1	0	1	1
746	0	0	0	0
747	0	1	0	1
748	1	0	1	1
749	0	0	0	0
750	0	0	0	0
751	1	0	1	1
752	1	0	1	0
753	1	0	1	1
754	1	0	1	1
755	0	1	0	1
756	0	0	0	0
757	0	0	1	1
758	1	0	1	1
759	0	0	0	0
760	0	0	0	0
761	0	1	0	1
762	0	0	0	0
763	1	0	1	1
764	0	1	0	1
765	0	1	1	1
766	0	1	0	1
767	1	1	1	1
768	0	0	0	0
769	0	1	0	0
770	0	0	0	0
771	0	0	0	0
772	0	1	0	1
773	0	0	0	0
774	1	0	1	1
775	1	0	1	1
776	0	0	0	0
777	0	0	0	0
778	0	0	0	0
779	0	1	0	1
780	0	0	1	1
781	1	0	1	1
782	1	0	0	0
783	0	1	0	1
784	0	0	0	0
785	0	1	1	1
786	1	0	1	1
787	1	0	1	1
788	1	0	1	1
789	0	1	0	1
790	0	0	0	0
791	0	1	0	1
792	0	1	0	1
793	0	1	1	1
794	0	0	0	0
795	0	0	0	0
796	1	0	1	1
797	0	0	0	0
798	1	1	1	1
799	1	0	1	1
800	1	0	1	1
801	1	0	0	0
802	0	1	0	1
803	1	0	1	0
804	0	1	0	1
805	1	0	1	1
806	1	0	1	1
807	0	0	0	0
808	1	0	0	0
809	0	1	0	1
810	1	0	1	1
811	1	1	1	1
812	1	0	1	0
813	0	0	0	0
814	0	0	0	0
815	0	1	0	1
816	0	0	0	0
817	1	0	1	1
818	1	0	1	1
819	1	0	0	0
820	1	0	1	1
821	0	0	0	0
822	0	1	0	1
823	1	0	1	1
824	1	0	1	1
825	1	0	1	1
826	1	0	1	0
827	1	0	1	1
828	1	0	1	1
829	1	0	0	0
830	0	0	1	0
831	0	0	0	0
832	1	0	1	1
833	0	1	0	1
834	0	0	0	0
835	0	1	0	1
836	0	1	0	0
837	1	0	1	1
838	1	0	1	1
839	0	1	0	1
840	0	0	0	0
841	1	1	1	1
842	0	1	1	1
843	1	0	1	1
844	1	0	0	0
845	1	0	1	1
846	0	1	1	1
847	1	0	1	1
848	1	0	1	1
849	0	1	0	1
850	0	0	0	0
851	0	1	0	0
852	0	0	0	0
853	1	0	1	0
854	1	0	1	1
855	1	0	1	1
856	0	0	0	0
857	0	1	0	1
858	1	0	1	1
859	1	0	1	1
860	1	0	1	1
861	1	1	1	1
862	0	1	1	1
863	0	0	1	1
864	0	0	0	0
865	0	1	1	1
866	1	1	1	1
867	1	0	0	0
868	0	1	0	1
869	1	0	1	1
870	1	0	1	1
871	0	0	0	0
872	1	0	1	1
873	1	0	1	1
874	1	0	1	1
875	0	1	0	1
876	1	0	1	1
877	0	0	0	0
878	1	0	1	1
879	1	0	1	1
880	0	0	0	0
881	1	0	1	1
882	1	0	1	1
883	1	1	0	1
884	1	0	1	1
885	1	0	1	1
886	1	0	1	1
887	1	0	1	1
888	1	0	1	1
889	1	0	0	0
890	0	0	0	0
891	0	0	0	0
892	0	0	1	1
893	1	0	1	1
894	0	1	0	1
895	1	0	1	1
896	0	1	0	1
897	1	0	1	1
898	1	1	1	1
899	1	0	1	1
900	1	0	1	1
901	1	1	1	1
902	1	0	1	1
903	1	0	1	1
904	1	0	1	1
905	1	0	1	1
906	0	0	1	1
907	0	0	0	0
908	1	0	1	1
909	0	1	0	0
910	0	1	0	1
911	1	0	1	1
912	1	1	1	1
913	0	0	0	0
914	0	0	0	0
915	1	0	1	0
916	1	0	1	1
917	1	0	1	1
918	1	0	1	0
919	0	1	1	1
920	1	1	1	1
921	0	1	0	1
922	1	0	1	1
923	0	1	0	1
924	0	0	1	1
925	1	0	1	1
926	0	1	1	1
927	1	0	1	0
928	1	0	1	1
929	0	0	0	0
930	1	0	1	1
931	1	0	1	1
932	0	1	0	1
933	0	0	0	0
934	0	0	0	0
935	1	1	1	1
936	1	0	1	1
937	0	0	0	0
938	1	0	1	0
939	0	0	0	0
940	0	1	0	1
941	0	1	0	1
942	1	0	1	1
943	1	1	1	1
944	0	0	0	0
945	0	1	0	0
946	1	0	1	1
947	1	0	1	1
948	0	0	0	0
949	0	0	0	0
950	1	0	0	0
951	1	0	1	1
952	0	0	1	1
953	0	0	0	0
954	0	0	0	0
955	1	0	1	1
956	1	0	0	0
957	1	0	0	0
958	0	0	1	1
959	1	0	1	1
960	0	1	0	1
961	1	0	1	0
962	1	0	1	1
963	1	0	1	1
964	1	0	1	1
965	1	0	1	1
966	1	0	1	1
967	1	1	1	1
968	1	0	1	1
969	0	0	0	0
970	1	1	1	1
971	0	1	0	1
972	0	1	0	1
973	0	0	0	0
974	0	1	0	1
975	1	1	1	0
976	0	0	0	0
977	0	0	0	0
978	0	1	0	1
979	0	0	0	0
980	1	0	0	0
981	0	0	1	1
982	1	0	1	1
983	0	0	0	0
984	0	0	1	1
985	0	1	0	1
986	0	0	0	0
987	0	1	0	1
988	0	0	0	0
989	1	1	1	1
990	0	0	1	1
991	1	0	1	1
992	0	0	0	0
993	0	0	0	0
994	1	0	1	1
995	0	1	0	1
996	0	0	1	1
997	0	0	1	1
998	0	0	0	0
999	0	1	0	1
1000	0	1	1	1
1001	1	0	1	1
1002	1	0	0	0
1003	1	0	1	1
1004	1	0	1	1
1005	1	0	0	0
1006	0	0	0	0
1007	1	0	1	0
1008	0	0	0	0
1009	1	1	1	1
1010	0	0	0	0
1011	1	0	0	0
1012	1	1	1	1
1013	0	0	1	1
1014	1	0	1	1
1015	1	0	1	1
1016	1	0	1	1
1017	1	0	0	0
1018	0	1	1	1
1019	0	1	0	1
1020	1	0	1	1
1021	0	0	0	0
1022	0	1	0	1
1023	1	0	1	1
1024	1	0	1	1
1025	0	0	0	0
1026	1	0	1	1
1027	0	1	1	1
1028	0	1	0	1
1029	0	1	0	1
1030	0	0	0	0
1031	0	1	0	1
1032	1	0	1	1
1033	1	0	1	1
1034	1	1	1	1
1035	1	0	0	0
1036	1	0	0	0
1037	1	0	1	1
1038	1	0	1	1
1039	0	0	0	0
1040	0	1	0	1
1041	1	1	1	1
1042	0	0	0	0
1043	1	0	1	1
1044	0	0	0	0
1045	1	0	0	0
1046	0	1	0	1
1047	1	0	1	1
1048	0	0	0	0
1049	1	0	0	0
1050	0	0	0	0
1051	0	0	1	0
1052	1	0	1	1
1053	0	1	0	1
1054	0	0	0	0
1055	0	0	0	0
1056	0	0	0	0
1057	0	0	0	0
1058	1	0	1	1
1059	1	0	1	0
1060	0	0	0	0
1061	0	1	0	0
1062	0	1	0	1
1063	0	1	1	1
1064	0	1	0	1
1065	1	1	1	1
1066	0	0	0	0
1067	1	1	1	1
1068	1	0	1	1
1069	0	1	0	1
1070	0	0	1	1
1071	0	1	0	0
1072	1	0	1	0
1073	1	0	1	1
1074	0	0	0	0
1075	1	0	1	1
1076	1	0	0	0
1077	0	0	0	0
1078	0	1	0	1
1079	1	0	1	1
1080	0	0	0	0
1081	0	1	0	1
1082	0	1	0	0
1083	0	1	1	1
1084	1	0	0	0
1085	1	1	0	1
1086	0	0	1	1
1087	0	1	0	1
1088	0	0	0	0
1089	1	0	0	0
1090	1	0	0	0
1091	1	0	1	1
1092	0	1	0	1
1093	1	0	1	0
1094	1	0	0	0
1095	1	0	1	1
1096	1	0	1	1
1097	0	0	1	1
1098	1	0	0	0
1099	0	1	0	1
1100	0	0	0	0
1101	1	0	1	1
1102	0	0	0	0
1103	0	0	0	0
1104	0	1	0	1
1105	0	0	1	1
1106	1	0	1	1
1107	1	0	1	1
1108	1	0	1	0
1109	0	0	0	0
1110	0	0	0	0
1111	1	0	1	1
1112	0	0	0	0
1113	1	0	1	1
1114	1	0	1	1
1115	0	1	0	1
1116	1	0	0	0
1117	0	1	1	1
1118	0	0	0	0
1119	0	1	0	1
1120	1	0	1	1
1121	1	1	1	1
1122	1	0	0	0
1123	1	0	1	1
1124	0	0	0	0
1125	0	1	0	1
1126	1	1	1	1
1127	1	0	1	1
1128	0	0	0	0
1129	1	0	1	1
1130	1	0	0	0
1131	0	1	0	1
1132	0	1	0	1
1133	1	0	1	1
1134	0	1	0	1
1135	0	1	1	1
1136	0	1	0	1
1137	0	1	0	1
1138	0	0	0	0
1139	1	0	0	0
1140	0	1	0	1
1141	0	0	1	1
1142	0	1	0	1
1143	0	1	0	1
1144	1	0	1	1
1145	1	1	1	1
1146	0	0	0	0
1147	1	0	1	1
1148	0	0	0	0
1149	1	0	1	1
1150	1	0	1	1
1151	1	1	1	1
1152	1	0	1	1
1153	0	1	0	0
1154	0	0	1	1
1155	1	0	1	1
1156	0	0	0	0
1157	0	1	0	1
1158	0	0	1	1
1159	1	0	0	0
1160	1	0	1	1
1161	0	0	0	0
1162	1	0	1	1
1163	1	0	1	1
1164	0	1	1	1
1165	1	0	1	1
1166	0	1	0	1
1167	0	0	0	0
1168	1	0	1	1
1169	1	0	1	1
1170	0	0	0	0
1171	0	0	0	0
1172	1	0	1	1
1173	1	1	1	1
1174	1	1	1	1
1175	0	1	0	1
1176	1	0	1	1
1177	0	1	0	1
1178	1	0	1	1
1179	0	0	0	0
1180	1	0	1	1
1181	0	1	0	1
1182	1	0	1	1
1183	1	0	1	1
1184	1	0	1	1
1185	1	0	1	1
1186	0	1	0	1
1187	0	0	0	0
1188	1	0	0	0
1189	1	0	0	0
1190	0	1	1	1
1191	1	0	1	1
1192	1	0	1	1
1193	0	0	0	0
1194	1	0	1	1
1195	1	0	1	1
1196	0	1	0	1
1197	1	0	1	1
1198	0	1	0	1
1199	1	0	1	1
1200	1	0	1	1
1201	0	1	0	1
1202	1	0	1	1
1203	1	0	1	1
1204	1	0	1	1
1205	1	0	1	1
1206	1	0	0	0
1207	0	0	0	0
1208	1	0	1	1
1209	0	1	1	1
1210	1	0	1	1
1211	0	1	0	0
1212	1	0	1	1
1213	0	0	0	0
1214	1	0	0	0
1215	1	0	1	1
1216	1	0	1	1
1217	0	1	0	1
1218	0	0	0	0
1219	0	0	1	1
1220	1	0	0	0
1221	0	1	0	1
1222	0	1	0	0
1223	1	0	1	1
1224	0	0	0	0
1225	0	0	1	1
1226	1	0	1	1
1227	0	1	0	1
1228	0	0	0	0
1229	0	0	0	0
1230	0	1	0	1
1231	1	0	0	0
1232	1	1	1	1
1233	0	1	0	0
1234	0	0	0	0
1235	1	0	1	1
1236	0	0	0	0
1237	0	1	0	0
1238	1	0	1	1
1239	0	1	0	1
1240	1	0	1	1
1241	1	0	1	1
1242	0	0	0	0
1243	0	1	0	1
1244	1	0	1	1
1245	0	1	0	1
1246	0	1	0	1
1247	1	0	1	1
1248	1	0	1	1
1249	1	0	1	1
1250	0	1	0	1
1251	1	0	1	1
1252	1	0	1	1
1253	0	1	0	0
1254	1	0	1	1
1255	0	1	0	1
1256	1	0	1	1
1257	0	1	0	1
1258	0	1	0	1
1259	1	0	1	1
1260	1	0	1	1
1261	1	0	0	0
1262	0	1	0	1
1263	1	0	1	1
1264	1	0	1	1
1265	0	1	1	1
1266	0	0	0	0
1267	0	0	0	0
1268	1	0	0	0
1269	0	0	0	0
1270	0	1	0	0
1271	1	0	1	1
1272	1	0	1	1
1273	0	0	1	1
1274	1	0	1	0
1275	0	0	0	0
1276	0	1	0	1
1277	1	0	1	1
1278	0	0	0	0
1279	1	0	1	1
1280	1	0	1	1
1281	1	1	1	1
1282	0	0	0	0
1283	1	0	1	1
1284	1	0	1	1
1285	1	0	0	0
1286	1	0	1	1
1287	1	0	1	1
1288	1	1	1	1
1289	1	1	1	1
1290	1	0	1	0
1291	0	1	0	1
1292	0	0	0	0
1293	1	0	1	1
1294	0	0	1	1
1295	1	0	0	0
1296	0	1	0	1
1297	0	1	0	0
1298	0	1	1	1
1299	1	0	0	0
1300	1	0	1	0
1301	0	0	0	0
1302	1	0	1	1
1303	1	0	1	1
1304	0	0	0	0
1305	0	0	1	1
1306	1	0	1	1
1307	1	0	1	1
1308	1	0	1	1
1309	0	0	0	0
1310	1	0	1	1
1311	0	0	0	0
1312	1	0	1	1
1313	1	0	1	1
1314	0	0	0	0
1315	1	0	1	1
1316	1	0	0	0
1317	1	0	1	1
1318	1	0	1	0
1319	0	1	1	1
1320	1	0	1	1
1321	0	1	0	1
1322	0	1	0	1
1323	0	0	0	0
1324	1	0	1	1
1325	1	0	0	0
1326	1	0	1	1
1327	0	1	0	1
1328	1	0	1	1
1329	1	0	1	1
1330	0	1	0	1
1331	0	0	0	0
1332	1	0	1	1
1333	0	0	0	0
1334	1	0	0	0
1335	0	1	0	1
1336	0	1	1	1
1337	1	0	1	1
1338	1	1	1	1
1339	0	1	0	1
1340	0	1	0	1
1341	0	0	1	1
1342	0	0	0	0
1343	1	0	1	1
1344	0	0	1	1
1345	0	1	0	1
1346	1	0	1	0
1347	1	0	1	1
1348	1	0	1	1
1349	0	0	1	1
1350	1	0	1	1
1351	1	0	1	1
1352	1	0	0	0
1353	0	0	0	0
1354	0	1	1	1
1355	0	0	1	1
1356	1	0	1	1
1357	0	1	0	1
1358	0	0	0	0
