IDnum	Rework_Decision	Logic_board_fail	IO_board_fail	System_State	Rework_Outcome	Rework_Cost
100	Logic_board	Yes	No	Failed	L0_IO1	175
101	Logic_board	Yes	No	Failed	L0_IO1	175
102	IO_board	Yes	No	Failed	L0_IO1	225
103	IO_board	Yes	No	Failed	L0_IO1	225
104	IO_board	No	Yes	Failed	L1_IO0	125
105	IO_board	No	No	Operational	L0_IO0	300
106	Logic_board	Yes	Yes	Failed	L0_IO0	300
107	IO_board	Yes	No	Failed	L0_IO1	225
108	Logic_board	Yes	No	Failed	L0_IO1	175
109	Logic_board	Yes	No	Failed	L0_IO1	175
110	Logic_board	Yes	No	Failed	L0_IO1	175
111	IO_board	Yes	No	Failed	L0_IO1	225
112	IO_board	Yes	No	Failed	L0_IO1	225
113	IO_board	Yes	No	Failed	L0_IO1	225
114	Logic_board	Yes	No	Failed	L0_IO1	175
115	Logic_board	Yes	No	Failed	L0_IO1	175
116	Logic_board	Yes	No	Failed	L0_IO1	175
117	IO_board	Yes	No	Failed	L0_IO1	225
118	Logic_board	Yes	Yes	Failed	L0_IO0	300
119	Logic_board	Yes	No	Failed	L0_IO1	175
120	Logic_board	Yes	No	Failed	L0_IO1	175
121	Logic_board	Yes	Yes	Failed	L0_IO0	300
122	IO_board	Yes	Yes	Failed	L0_IO0	300
123	Logic_board	Yes	No	Failed	L0_IO1	175
124	IO_board	Yes	No	Failed	L0_IO1	225
125	Logic_board	Yes	No	Failed	L0_IO1	175
126	Logic_board	Yes	No	Failed	L0_IO1	175
127	IO_board	Yes	No	Failed	L0_IO1	225
128	Logic_board	Yes	Yes	Failed	L0_IO0	300
129	IO_board	Yes	No	Failed	L0_IO1	225
130	Logic_board	Yes	No	Failed	L0_IO1	175
131	Logic_board	Yes	No	Failed	L0_IO1	175
132	IO_board	Yes	No	Failed	L0_IO1	225
133	Logic_board	Yes	No	Failed	L0_IO1	175
134	IO_board	Yes	Yes	Failed	L0_IO0	300
135	Logic_board	Yes	No	Failed	L0_IO1	175
136	IO_board	Yes	No	Failed	L0_IO1	225
137	Logic_board	Yes	Yes	Failed	L0_IO0	300
138	Logic_board	Yes	No	Failed	L0_IO1	175
139	IO_board	Yes	No	Failed	L0_IO1	225
140	IO_board	Yes	Yes	Failed	L0_IO0	300
141	IO_board	No	No	Operational	L0_IO0	300
142	IO_board	No	No	Operational	L0_IO0	300
143	IO_board	Yes	No	Failed	L0_IO1	225
144	Logic_board	Yes	No	Failed	L0_IO1	175
145	IO_board	Yes	No	Failed	L0_IO1	225
146	Logic_board	Yes	No	Failed	L0_IO1	175
147	Logic_board	Yes	No	Failed	L0_IO1	175
148	IO_board	Yes	No	Failed	L0_IO1	225
149	IO_board	Yes	No	Failed	L0_IO1	225
150	Logic_board	Yes	No	Failed	L0_IO1	175
151	IO_board	Yes	Yes	Failed	L0_IO0	300
152	Logic_board	Yes	Yes	Failed	L0_IO0	300
153	Logic_board	Yes	No	Failed	L0_IO1	175
154	Logic_board	Yes	Yes	Failed	L0_IO0	300
155	IO_board	Yes	No	Failed	L0_IO1	225
156	Logic_board	Yes	No	Failed	L0_IO1	175
157	IO_board	Yes	Yes	Failed	L0_IO0	300
158	Logic_board	No	No	Operational	L0_IO0	300
159	Logic_board	No	No	Operational	L0_IO0	300
160	Logic_board	Yes	No	Failed	L0_IO1	175
161	IO_board	No	No	Operational	L0_IO0	300
162	Logic_board	Yes	No	Failed	L0_IO1	175
163	Logic_board	Yes	No	Failed	L0_IO1	175
164	Logic_board	Yes	No	Failed	L0_IO1	175
165	Logic_board	Yes	No	Failed	L0_IO1	175
166	Logic_board	Yes	No	Failed	L0_IO1	175
167	IO_board	Yes	No	Failed	L0_IO1	225
168	Logic_board	Yes	No	Failed	L0_IO1	175
169	Logic_board	Yes	Yes	Failed	L0_IO0	300
170	IO_board	Yes	No	Failed	L0_IO1	225
171	IO_board	Yes	No	Failed	L0_IO1	225
172	IO_board	Yes	No	Failed	L0_IO1	225
173	IO_board	Yes	No	Failed	L0_IO1	225
174	IO_board	Yes	No	Failed	L0_IO1	225
175	Logic_board	Yes	Yes	Failed	L0_IO0	300
176	IO_board	Yes	No	Failed	L0_IO1	225
177	Logic_board	Yes	No	Failed	L0_IO1	175
178	IO_board	Yes	Yes	Failed	L0_IO0	300
179	Logic_board	Yes	Yes	Failed	L0_IO0	300
180	Logic_board	Yes	No	Failed	L0_IO1	175
181	IO_board	No	No	Operational	L0_IO0	300
182	Logic_board	Yes	No	Failed	L0_IO1	175
183	IO_board	Yes	No	Failed	L0_IO1	225
184	IO_board	Yes	No	Failed	L0_IO1	225
185	Logic_board	Yes	No	Failed	L0_IO1	175
186	IO_board	Yes	No	Failed	L0_IO1	225
187	Logic_board	Yes	No	Failed	L0_IO1	175
188	Logic_board	Yes	Yes	Failed	L0_IO0	300
189	Logic_board	Yes	No	Failed	L0_IO1	175
190	IO_board	Yes	Yes	Failed	L0_IO0	300
191	Logic_board	Yes	No	Failed	L0_IO1	175
192	Logic_board	Yes	No	Failed	L0_IO1	175
193	IO_board	Yes	Yes	Failed	L0_IO0	300
194	IO_board	No	No	Operational	L0_IO0	300
195	Logic_board	No	No	Operational	L0_IO0	300
196	Logic_board	Yes	No	Failed	L0_IO1	175
197	IO_board	Yes	No	Failed	L0_IO1	225
198	Logic_board	Yes	No	Failed	L0_IO1	175
199	IO_board	Yes	No	Failed	L0_IO1	225
200	Logic_board	No	Yes	Failed	L1_IO0	200
201	IO_board	No	No	Operational	L0_IO0	300
202	IO_board	Yes	No	Failed	L0_IO1	225
203	Logic_board	Yes	No	Failed	L0_IO1	175
204	Logic_board	Yes	No	Failed	L0_IO1	175
205	Logic_board	Yes	Yes	Failed	L0_IO0	300
206	Logic_board	Yes	No	Failed	L0_IO1	175
207	IO_board	Yes	No	Failed	L0_IO1	225
208	Logic_board	No	Yes	Failed	L1_IO0	200
209	Logic_board	No	No	Operational	L0_IO0	300
210	Logic_board	Yes	No	Failed	L0_IO1	175
211	IO_board	Yes	No	Failed	L0_IO1	225
212	IO_board	Yes	No	Failed	L0_IO1	225
213	Logic_board	Yes	No	Failed	L0_IO1	175
214	Logic_board	Yes	No	Failed	L0_IO1	175
215	IO_board	Yes	No	Failed	L0_IO1	225
216	Logic_board	Yes	No	Failed	L0_IO1	175
217	Logic_board	No	No	Operational	L0_IO0	300
218	IO_board	Yes	No	Failed	L0_IO1	225
219	Logic_board	Yes	No	Failed	L0_IO1	175
220	IO_board	Yes	No	Failed	L0_IO1	225
221	IO_board	Yes	No	Failed	L0_IO1	225
222	Logic_board	Yes	Yes	Failed	L0_IO0	300
223	Logic_board	Yes	No	Failed	L0_IO1	175
224	IO_board	Yes	No	Failed	L0_IO1	225
225	Logic_board	Yes	No	Failed	L0_IO1	175
226	Logic_board	Yes	No	Failed	L0_IO1	175
227	Logic_board	Yes	No	Failed	L0_IO1	175
228	Logic_board	Yes	No	Failed	L0_IO1	175
229	IO_board	No	No	Operational	L0_IO0	300
230	IO_board	Yes	Yes	Failed	L0_IO0	300
231	Logic_board	Yes	No	Failed	L0_IO1	175
232	Logic_board	Yes	No	Failed	L0_IO1	175
233	Logic_board	Yes	No	Failed	L0_IO1	175
234	IO_board	No	No	Operational	L0_IO0	300
235	Logic_board	Yes	Yes	Failed	L0_IO0	300
236	Logic_board	Yes	No	Failed	L0_IO1	175
237	IO_board	No	No	Operational	L0_IO0	300
238	Logic_board	Yes	Yes	Failed	L0_IO0	300
239	IO_board	Yes	No	Failed	L0_IO1	225
240	Logic_board	Yes	Yes	Failed	L0_IO0	300
241	Logic_board	Yes	No	Failed	L0_IO1	175
242	IO_board	Yes	No	Failed	L0_IO1	225
243	IO_board	Yes	No	Failed	L0_IO1	225
244	IO_board	Yes	No	Failed	L0_IO1	225
245	Logic_board	Yes	No	Failed	L0_IO1	175
246	Logic_board	No	No	Operational	L0_IO0	300
247	IO_board	No	No	Operational	L0_IO0	300
248	Logic_board	Yes	No	Failed	L0_IO1	175
249	IO_board	Yes	No	Failed	L0_IO1	225
250	Logic_board	Yes	Yes	Failed	L0_IO0	300
251	Logic_board	Yes	No	Failed	L0_IO1	175
252	IO_board	Yes	No	Failed	L0_IO1	225
253	Logic_board	Yes	No	Failed	L0_IO1	175
254	Logic_board	No	Yes	Failed	L1_IO0	200
255	Logic_board	Yes	No	Failed	L0_IO1	175
256	Logic_board	Yes	No	Failed	L0_IO1	175
257	IO_board	Yes	No	Failed	L0_IO1	225
258	IO_board	Yes	No	Failed	L0_IO1	225
259	IO_board	Yes	No	Failed	L0_IO1	225
260	IO_board	Yes	No	Failed	L0_IO1	225
261	IO_board	Yes	No	Failed	L0_IO1	225
262	Logic_board	Yes	Yes	Failed	L0_IO0	300
263	Logic_board	Yes	No	Failed	L0_IO1	175
264	IO_board	Yes	No	Failed	L0_IO1	225
265	Logic_board	Yes	Yes	Failed	L0_IO0	300
266	IO_board	No	No	Operational	L0_IO0	300
267	IO_board	Yes	No	Failed	L0_IO1	225
268	IO_board	Yes	No	Failed	L0_IO1	225
269	IO_board	Yes	Yes	Failed	L0_IO0	300
270	Logic_board	Yes	No	Failed	L0_IO1	175
271	Logic_board	Yes	No	Failed	L0_IO1	175
272	Logic_board	Yes	No	Failed	L0_IO1	175
273	Logic_board	Yes	No	Failed	L0_IO1	175
274	Logic_board	Yes	Yes	Failed	L0_IO0	300
275	IO_board	Yes	No	Failed	L0_IO1	225
276	Logic_board	Yes	No	Failed	L0_IO1	175
277	IO_board	Yes	No	Failed	L0_IO1	225
278	IO_board	Yes	No	Failed	L0_IO1	225
279	IO_board	Yes	No	Failed	L0_IO1	225
280	Logic_board	No	No	Operational	L0_IO0	300
281	IO_board	Yes	No	Failed	L0_IO1	225
282	IO_board	Yes	No	Failed	L0_IO1	225
283	IO_board	Yes	No	Failed	L0_IO1	225
284	Logic_board	Yes	No	Failed	L0_IO1	175
285	IO_board	No	Yes	Failed	L1_IO0	125
286	IO_board	Yes	Yes	Failed	L0_IO0	300
287	Logic_board	Yes	No	Failed	L0_IO1	175
288	Logic_board	Yes	No	Failed	L0_IO1	175
289	IO_board	Yes	Yes	Failed	L0_IO0	300
290	IO_board	Yes	Yes	Failed	L0_IO0	300
291	Logic_board	Yes	No	Failed	L0_IO1	175
292	Logic_board	No	Yes	Failed	L1_IO0	200
293	IO_board	Yes	Yes	Failed	L0_IO0	300
294	Logic_board	Yes	No	Failed	L0_IO1	175
295	Logic_board	Yes	No	Failed	L0_IO1	175
296	Logic_board	Yes	No	Failed	L0_IO1	175
297	IO_board	Yes	No	Failed	L0_IO1	225
298	Logic_board	Yes	No	Failed	L0_IO1	175
299	IO_board	Yes	No	Failed	L0_IO1	225
300	IO_board	No	Yes	Failed	L1_IO0	125
301	IO_board	Yes	No	Failed	L0_IO1	225
302	IO_board	Yes	No	Failed	L0_IO1	225
303	Logic_board	No	No	Operational	L0_IO0	300
304	Logic_board	Yes	No	Failed	L0_IO1	175
305	IO_board	No	No	Operational	L0_IO0	300
306	Logic_board	Yes	No	Failed	L0_IO1	175
307	Logic_board	Yes	No	Failed	L0_IO1	175
308	IO_board	Yes	No	Failed	L0_IO1	225
309	IO_board	Yes	Yes	Failed	L0_IO0	300
310	IO_board	No	Yes	Failed	L1_IO0	125
311	Logic_board	Yes	No	Failed	L0_IO1	175
312	Logic_board	Yes	No	Failed	L0_IO1	175
313	Logic_board	Yes	No	Failed	L0_IO1	175
314	Logic_board	Yes	No	Failed	L0_IO1	175
315	IO_board	Yes	No	Failed	L0_IO1	225
316	IO_board	No	No	Operational	L0_IO0	300
317	Logic_board	No	No	Operational	L0_IO0	300
318	IO_board	Yes	No	Failed	L0_IO1	225
319	IO_board	Yes	No	Failed	L0_IO1	225
320	Logic_board	No	No	Operational	L0_IO0	300
321	Logic_board	Yes	No	Failed	L0_IO1	175
322	Logic_board	Yes	No	Failed	L0_IO1	175
323	Logic_board	Yes	No	Failed	L0_IO1	175
324	IO_board	Yes	No	Failed	L0_IO1	225
325	Logic_board	Yes	No	Failed	L0_IO1	175
326	IO_board	Yes	No	Failed	L0_IO1	225
327	IO_board	Yes	No	Failed	L0_IO1	225
328	IO_board	Yes	No	Failed	L0_IO1	225
329	Logic_board	Yes	No	Failed	L0_IO1	175
330	Logic_board	Yes	No	Failed	L0_IO1	175
331	Logic_board	No	No	Operational	L0_IO0	300
332	IO_board	No	No	Operational	L0_IO0	300
333	Logic_board	Yes	No	Failed	L0_IO1	175
334	Logic_board	No	No	Operational	L0_IO0	300
335	Logic_board	Yes	No	Failed	L0_IO1	175
336	Logic_board	Yes	No	Failed	L0_IO1	175
337	Logic_board	Yes	No	Failed	L0_IO1	175
338	Logic_board	Yes	No	Failed	L0_IO1	175
339	IO_board	Yes	No	Failed	L0_IO1	225
340	Logic_board	Yes	No	Failed	L0_IO1	175
341	IO_board	Yes	No	Failed	L0_IO1	225
342	IO_board	No	Yes	Failed	L1_IO0	125
343	Logic_board	Yes	No	Failed	L0_IO1	175
344	IO_board	Yes	No	Failed	L0_IO1	225
345	Logic_board	Yes	No	Failed	L0_IO1	175
346	Logic_board	Yes	No	Failed	L0_IO1	175
347	IO_board	Yes	No	Failed	L0_IO1	225
348	IO_board	Yes	No	Failed	L0_IO1	225
349	Logic_board	Yes	No	Failed	L0_IO1	175
350	Logic_board	Yes	No	Failed	L0_IO1	175
351	IO_board	No	No	Operational	L0_IO0	300
352	Logic_board	Yes	No	Failed	L0_IO1	175
353	IO_board	No	No	Operational	L0_IO0	300
354	Logic_board	Yes	Yes	Failed	L0_IO0	300
355	IO_board	Yes	No	Failed	L0_IO1	225
356	IO_board	Yes	No	Failed	L0_IO1	225
357	IO_board	Yes	No	Failed	L0_IO1	225
358	IO_board	Yes	No	Failed	L0_IO1	225
359	IO_board	Yes	No	Failed	L0_IO1	225
360	IO_board	Yes	No	Failed	L0_IO1	225
361	Logic_board	Yes	No	Failed	L0_IO1	175
362	Logic_board	Yes	Yes	Failed	L0_IO0	300
363	Logic_board	Yes	No	Failed	L0_IO1	175
364	Logic_board	Yes	Yes	Failed	L0_IO0	300
365	Logic_board	Yes	No	Failed	L0_IO1	175
366	Logic_board	Yes	Yes	Failed	L0_IO0	300
367	Logic_board	Yes	No	Failed	L0_IO1	175
368	Logic_board	Yes	No	Failed	L0_IO1	175
369	Logic_board	Yes	Yes	Failed	L0_IO0	300
370	IO_board	Yes	No	Failed	L0_IO1	225
371	Logic_board	No	No	Operational	L0_IO0	300
372	Logic_board	Yes	No	Failed	L0_IO1	175
373	Logic_board	Yes	No	Failed	L0_IO1	175
374	IO_board	Yes	No	Failed	L0_IO1	225
375	Logic_board	Yes	Yes	Failed	L0_IO0	300
376	IO_board	Yes	No	Failed	L0_IO1	225
377	Logic_board	Yes	No	Failed	L0_IO1	175
378	Logic_board	Yes	No	Failed	L0_IO1	175
379	IO_board	Yes	No	Failed	L0_IO1	225
380	Logic_board	Yes	No	Failed	L0_IO1	175
381	IO_board	No	Yes	Failed	L1_IO0	125
382	Logic_board	Yes	No	Failed	L0_IO1	175
383	IO_board	Yes	No	Failed	L0_IO1	225
384	IO_board	Yes	No	Failed	L0_IO1	225
385	IO_board	Yes	No	Failed	L0_IO1	225
386	IO_board	No	Yes	Failed	L1_IO0	125
387	Logic_board	Yes	Yes	Failed	L0_IO0	300
388	Logic_board	Yes	No	Failed	L0_IO1	175
389	Logic_board	Yes	Yes	Failed	L0_IO0	300
390	Logic_board	Yes	No	Failed	L0_IO1	175
391	Logic_board	No	No	Operational	L0_IO0	300
392	Logic_board	Yes	No	Failed	L0_IO1	175
393	Logic_board	Yes	Yes	Failed	L0_IO0	300
394	Logic_board	Yes	Yes	Failed	L0_IO0	300
395	Logic_board	Yes	Yes	Failed	L0_IO0	300
396	IO_board	Yes	No	Failed	L0_IO1	225
397	IO_board	Yes	No	Failed	L0_IO1	225
398	Logic_board	Yes	Yes	Failed	L0_IO0	300
399	IO_board	Yes	No	Failed	L0_IO1	225
400	Logic_board	Yes	No	Failed	L0_IO1	175
401	Logic_board	Yes	No	Failed	L0_IO1	175
402	Logic_board	Yes	Yes	Failed	L0_IO0	300
403	IO_board	Yes	No	Failed	L0_IO1	225
404	IO_board	Yes	No	Failed	L0_IO1	225
405	IO_board	Yes	No	Failed	L0_IO1	225
406	Logic_board	Yes	No	Failed	L0_IO1	175
407	Logic_board	Yes	No	Failed	L0_IO1	175
408	IO_board	Yes	Yes	Failed	L0_IO0	300
409	IO_board	Yes	No	Failed	L0_IO1	225
410	IO_board	Yes	Yes	Failed	L0_IO0	300
411	IO_board	Yes	No	Failed	L0_IO1	225
412	IO_board	Yes	Yes	Failed	L0_IO0	300
413	Logic_board	Yes	No	Failed	L0_IO1	175
414	IO_board	No	No	Operational	L0_IO0	300
415	IO_board	No	No	Operational	L0_IO0	300
416	Logic_board	Yes	No	Failed	L0_IO1	175
417	IO_board	Yes	No	Failed	L0_IO1	225
418	IO_board	Yes	No	Failed	L0_IO1	225
419	Logic_board	Yes	Yes	Failed	L0_IO0	300
420	IO_board	Yes	No	Failed	L0_IO1	225
421	Logic_board	Yes	Yes	Failed	L0_IO0	300
422	Logic_board	No	No	Operational	L0_IO0	300
423	IO_board	Yes	No	Failed	L0_IO1	225
424	IO_board	Yes	No	Failed	L0_IO1	225
425	Logic_board	Yes	No	Failed	L0_IO1	175
426	IO_board	Yes	No	Failed	L0_IO1	225
427	IO_board	Yes	No	Failed	L0_IO1	225
428	Logic_board	Yes	No	Failed	L0_IO1	175
429	Logic_board	Yes	No	Failed	L0_IO1	175
430	Logic_board	Yes	No	Failed	L0_IO1	175
431	IO_board	Yes	No	Failed	L0_IO1	225
432	IO_board	Yes	No	Failed	L0_IO1	225
433	Logic_board	Yes	No	Failed	L0_IO1	175
434	IO_board	Yes	No	Failed	L0_IO1	225
435	Logic_board	No	No	Operational	L0_IO0	300
436	IO_board	Yes	No	Failed	L0_IO1	225
437	IO_board	No	No	Operational	L0_IO0	300
438	IO_board	Yes	No	Failed	L0_IO1	225
439	Logic_board	Yes	No	Failed	L0_IO1	175
440	IO_board	Yes	No	Failed	L0_IO1	225
441	Logic_board	Yes	Yes	Failed	L0_IO0	300
442	IO_board	Yes	No	Failed	L0_IO1	225
443	IO_board	Yes	No	Failed	L0_IO1	225
444	IO_board	Yes	No	Failed	L0_IO1	225
445	IO_board	Yes	No	Failed	L0_IO1	225
446	IO_board	No	No	Operational	L0_IO0	300
447	Logic_board	No	No	Operational	L0_IO0	300
448	IO_board	Yes	No	Failed	L0_IO1	225
449	Logic_board	Yes	Yes	Failed	L0_IO0	300
450	IO_board	Yes	No	Failed	L0_IO1	225
451	Logic_board	Yes	No	Failed	L0_IO1	175
452	Logic_board	Yes	No	Failed	L0_IO1	175
453	Logic_board	Yes	Yes	Failed	L0_IO0	300
454	Logic_board	No	No	Operational	L0_IO0	300
455	IO_board	Yes	Yes	Failed	L0_IO0	300
456	Logic_board	Yes	No	Failed	L0_IO1	175
457	Logic_board	Yes	No	Failed	L0_IO1	175
458	Logic_board	Yes	No	Failed	L0_IO1	175
459	Logic_board	Yes	No	Failed	L0_IO1	175
460	Logic_board	Yes	No	Failed	L0_IO1	175
461	IO_board	Yes	No	Failed	L0_IO1	225
462	Logic_board	Yes	No	Failed	L0_IO1	175
463	Logic_board	Yes	No	Failed	L0_IO1	175
464	Logic_board	Yes	No	Failed	L0_IO1	175
465	Logic_board	Yes	No	Failed	L0_IO1	175
466	Logic_board	Yes	No	Failed	L0_IO1	175
467	Logic_board	Yes	No	Failed	L0_IO1	175
468	Logic_board	No	No	Operational	L0_IO0	300
469	IO_board	Yes	No	Failed	L0_IO1	225
470	Logic_board	Yes	No	Failed	L0_IO1	175
471	IO_board	Yes	No	Failed	L0_IO1	225
472	Logic_board	Yes	No	Failed	L0_IO1	175
473	Logic_board	Yes	No	Failed	L0_IO1	175
474	Logic_board	Yes	No	Failed	L0_IO1	175
475	IO_board	No	Yes	Failed	L1_IO0	125
476	Logic_board	Yes	No	Failed	L0_IO1	175
477	Logic_board	Yes	No	Failed	L0_IO1	175
478	Logic_board	Yes	No	Failed	L0_IO1	175
479	IO_board	No	No	Operational	L0_IO0	300
480	Logic_board	Yes	No	Failed	L0_IO1	175
481	Logic_board	Yes	No	Failed	L0_IO1	175
482	Logic_board	Yes	No	Failed	L0_IO1	175
483	Logic_board	Yes	No	Failed	L0_IO1	175
484	Logic_board	Yes	No	Failed	L0_IO1	175
485	IO_board	Yes	Yes	Failed	L0_IO0	300
486	IO_board	Yes	Yes	Failed	L0_IO0	300
487	Logic_board	Yes	No	Failed	L0_IO1	175
488	IO_board	Yes	No	Failed	L0_IO1	225
489	IO_board	Yes	No	Failed	L0_IO1	225
490	Logic_board	Yes	Yes	Failed	L0_IO0	300
491	Logic_board	Yes	No	Failed	L0_IO1	175
492	Logic_board	Yes	No	Failed	L0_IO1	175
493	IO_board	Yes	No	Failed	L0_IO1	225
494	IO_board	Yes	No	Failed	L0_IO1	225
495	IO_board	Yes	No	Failed	L0_IO1	225
496	Logic_board	Yes	No	Failed	L0_IO1	175
497	Logic_board	Yes	No	Failed	L0_IO1	175
498	IO_board	No	No	Operational	L0_IO0	300
499	Logic_board	Yes	No	Failed	L0_IO1	175
500	Logic_board	Yes	Yes	Failed	L0_IO0	300
501	IO_board	Yes	Yes	Failed	L0_IO0	300
502	Logic_board	Yes	Yes	Failed	L0_IO0	300
503	Logic_board	Yes	No	Failed	L0_IO1	175
504	Logic_board	Yes	Yes	Failed	L0_IO0	300
505	IO_board	Yes	No	Failed	L0_IO1	225
506	Logic_board	Yes	No	Failed	L0_IO1	175
507	Logic_board	No	No	Operational	L0_IO0	300
508	IO_board	Yes	No	Failed	L0_IO1	225
509	IO_board	Yes	No	Failed	L0_IO1	225
510	IO_board	Yes	No	Failed	L0_IO1	225
511	Logic_board	Yes	Yes	Failed	L0_IO0	300
512	IO_board	Yes	No	Failed	L0_IO1	225
513	Logic_board	Yes	Yes	Failed	L0_IO0	300
514	IO_board	Yes	No	Failed	L0_IO1	225
515	IO_board	Yes	Yes	Failed	L0_IO0	300
516	Logic_board	Yes	Yes	Failed	L0_IO0	300
517	Logic_board	No	No	Operational	L0_IO0	300
518	IO_board	Yes	No	Failed	L0_IO1	225
519	IO_board	Yes	No	Failed	L0_IO1	225
520	Logic_board	Yes	No	Failed	L0_IO1	175
521	IO_board	Yes	No	Failed	L0_IO1	225
