 IDnum	Economical_State	Export_Decision	Profit
215	0	1	2.357e6
216	0	1	2.357e6
217	2	0	1.87e6
218	1	2	7.66e5
219	0	0	2.726e6
220	1	0	-7.11e5
221	2	2	1.425e6
222	1	2	7.66e5
223	1	2	7.66e5
224	1	1	9.005e5
225	0	2	2.1e5
226	2	2	1.425e6
227	2	1	1.6945e6
228	1	2	7.66e5
229	1	1	9.005e5
230	2	0	1.87e6
231	2	1	1.6945e6
232	0	2	2.1e5
233	0	2	2.1e5
234	2	1	1.6945e6
235	1	2	7.66e5
236	1	0	-7.11e5
237	0	1	2.357e6
238	0	0	2.726e6
239	1	0	-7.11e5
240	0	0	2.726e6
241	2	2	1.425e6
242	0	2	2.1e5
243	0	1	2.357e6
244	2	1	1.6945e6
245	2	1	1.6945e6
246	1	2	7.66e5
247	0	0	2.726e6
248	2	2	1.425e6
249	2	0	1.87e6
250	2	2	1.425e6
251	2	2	1.425e6
252	1	0	-7.11e5
253	0	1	2.357e6
254	2	0	1.87e6
255	0	0	2.726e6
256	0	0	2.726e6
257	2	1	1.6945e6
258	2	2	1.425e6
259	0	0	2.726e6
260	0	0	2.726e6
261	2	0	1.87e6
262	1	1	9.005e5
263	0	2	2.1e5
264	1	2	7.66e5
265	1	2	7.66e5
266	1	1	9.005e5
267	1	0	-7.11e5
268	0	0	2.726e6
269	0	0	2.726e6
270	2	0	1.87e6
271	1	1	9.005e5
272	2	2	1.425e6
273	2	0	1.87e6
274	0	2	2.1e5
275	1	1	9.005e5
276	0	0	2.726e6
277	2	2	1.425e6
278	0	0	2.726e6
279	0	0	2.726e6
280	2	0	1.87e6
281	1	1	9.005e5
282	1	2	7.66e5
283	1	1	9.005e5
284	0	2	2.1e5
285	1	1	9.005e5
286	0	2	2.1e5
287	1	2	7.66e5
288	1	1	9.005e5
289	2	0	1.87e6
290	0	2	2.1e5
291	2	2	1.425e6
292	0	0	2.726e6
293	0	1	2.357e6
294	2	1	1.6945e6
295	1	2	7.66e5
296	0	0	2.726e6
297	0	2	2.1e5
298	1	2	7.66e5
299	0	1	2.357e6
300	0	1	2.357e6
301	2	2	1.425e6
302	2	1	1.6945e6
303	2	2	1.425e6
304	0	1	2.357e6
305	0	0	2.726e6
306	2	2	1.425e6
307	0	2	2.1e5
308	2	1	1.6945e6
309	0	0	2.726e6
310	1	2	7.66e5
311	0	0	2.726e6
312	2	2	1.425e6
313	0	2	2.1e5
314	0	2	2.1e5
315	0	1	2.357e6
316	1	0	-7.11e5
317	0	0	2.726e6
318	2	1	1.6945e6
319	0	0	2.726e6
320	1	1	9.005e5
321	1	2	7.66e5
322	0	2	2.1e5
323	0	2	2.1e5
324	1	1	9.005e5
325	2	1	1.6945e6
326	0	0	2.726e6
327	2	0	1.87e6
328	0	2	2.1e5
329	0	1	2.357e6
330	1	2	7.66e5
331	0	2	2.1e5
332	0	2	2.1e5
333	2	2	1.425e6
334	0	1	2.357e6
335	2	1	1.6945e6
336	2	0	1.87e6
337	0	1	2.357e6
338	1	0	-7.11e5
339	1	2	7.66e5
340	0	2	2.1e5
341	0	1	2.357e6
342	1	0	-7.11e5
343	0	2	2.1e5
344	2	1	1.6945e6
345	1	2	7.66e5
346	2	2	1.425e6
347	2	2	1.425e6
348	0	2	2.1e5
349	2	1	1.6945e6
350	1	0	-7.11e5
351	0	1	2.357e6
352	2	0	1.87e6
353	0	2	2.1e5
354	0	2	2.1e5
355	0	0	2.726e6
356	1	0	-7.11e5
357	0	1	2.357e6
358	0	2	2.1e5
359	0	2	2.1e5
360	0	0	2.726e6
361	2	0	1.87e6
362	0	2	2.1e5
363	1	1	9.005e5
364	2	0	1.87e6
365	2	0	1.87e6
366	0	2	2.1e5
367	2	0	1.87e6
368	0	2	2.1e5
369	1	1	9.005e5
370	2	1	1.6945e6
371	2	0	1.87e6
372	0	0	2.726e6
373	2	1	1.6945e6
374	1	0	-7.11e5
375	0	2	2.1e5
376	2	1	1.6945e6
377	2	2	1.425e6
378	0	2	2.1e5
379	1	0	-7.11e5
380	0	0	2.726e6
381	0	2	2.1e5
382	2	0	1.87e6
383	1	1	9.005e5
384	0	2	2.1e5
385	0	0	2.726e6
386	2	2	1.425e6
387	1	2	7.66e5
388	2	1	1.6945e6
389	0	2	2.1e5
390	0	1	2.357e6
391	1	0	-7.11e5
392	0	2	2.1e5
393	1	2	7.66e5
394	2	0	1.87e6
395	0	2	2.1e5
396	0	2	2.1e5
397	1	0	-7.11e5
398	0	1	2.357e6
399	1	1	9.005e5
400	0	2	2.1e5
401	0	0	2.726e6
402	0	0	2.726e6
403	0	2	2.1e5
404	2	1	1.6945e6
405	1	1	9.005e5
406	1	2	7.66e5
407	0	1	2.357e6
408	1	1	9.005e5
409	2	0	1.87e6
410	0	1	2.357e6
411	2	0	1.87e6
412	1	1	9.005e5
413	0	0	2.726e6
414	2	2	1.425e6
415	1	0	-7.11e5
416	1	0	-7.11e5
417	0	2	2.1e5
418	0	0	2.726e6
419	0	2	2.1e5
420	0	2	2.1e5
421	0	0	2.726e6
422	1	0	-7.11e5
423	1	2	7.66e5
424	0	0	2.726e6
425	0	1	2.357e6
426	2	1	1.6945e6
427	1	2	7.66e5
428	2	1	1.6945e6
429	0	0	2.726e6
430	0	1	2.357e6
431	2	1	1.6945e6
432	1	0	-7.11e5
433	1	2	7.66e5
434	1	1	9.005e5
435	0	2	2.1e5
436	0	2	2.1e5
437	1	1	9.005e5
438	0	1	2.357e6
439	0	2	2.1e5
440	0	1	2.357e6
441	0	0	2.726e6
442	0	0	2.726e6
443	0	0	2.726e6
444	1	2	7.66e5
445	2	1	1.6945e6
446	1	2	7.66e5
447	1	2	7.66e5
448	1	1	9.005e5
449	0	1	2.357e6
450	0	1	2.357e6
451	1	2	7.66e5
452	0	2	2.1e5
453	0	2	2.1e5
454	0	1	2.357e6
455	0	2	2.1e5
456	1	2	7.66e5
457	0	1	2.357e6
458	2	2	1.425e6
459	1	2	7.66e5
460	0	1	2.357e6
461	2	0	1.87e6
462	0	1	2.357e6
463	0	2	2.1e5
464	0	1	2.357e6
465	0	1	2.357e6
466	2	2	1.425e6
467	0	2	2.1e5
468	0	0	2.726e6
469	0	1	2.357e6
470	0	2	2.1e5
471	1	2	7.66e5
472	0	0	2.726e6
473	2	1	1.6945e6
474	2	1	1.6945e6
475	2	0	1.87e6
476	0	0	2.726e6
477	2	1	1.6945e6
478	1	2	7.66e5
479	0	0	2.726e6
480	1	0	-7.11e5
481	0	2	2.1e5
482	0	1	2.357e6
483	0	0	2.726e6
484	2	1	1.6945e6
485	0	0	2.726e6
486	2	0	1.87e6
487	0	1	2.357e6
488	1	0	-7.11e5
489	1	0	-7.11e5
490	1	1	9.005e5
491	0	2	2.1e5
492	2	2	1.425e6
493	0	2	2.1e5
494	0	1	2.357e6
495	0	2	2.1e5
496	0	0	2.726e6
497	2	1	1.6945e6
498	0	0	2.726e6
499	0	1	2.357e6
500	0	0	2.726e6
501	1	2	7.66e5
502	0	1	2.357e6
503	0	1	2.357e6
504	0	1	2.357e6
505	2	0	1.87e6
506	2	0	1.87e6
507	0	1	2.357e6
508	0	0	2.726e6
509	0	0	2.726e6
510	0	2	2.1e5
511	0	0	2.726e6
512	0	1	2.357e6
513	2	2	1.425e6
514	1	2	7.66e5
515	0	1	2.357e6
516	2	1	1.6945e6
517	1	1	9.005e5
518	0	2	2.1e5
519	1	1	9.005e5
520	2	1	1.6945e6
521	0	0	2.726e6
522	0	1	2.357e6
523	1	1	9.005e5
524	1	1	9.005e5
525	0	0	2.726e6
526	0	1	2.357e6
527	2	1	1.6945e6
528	2	1	1.6945e6
529	1	1	9.005e5
530	2	2	1.425e6
531	1	0	-7.11e5
532	0	2	2.1e5
533	0	1	2.357e6
534	0	0	2.726e6
535	0	0	2.726e6
536	1	2	7.66e5
537	0	1	2.357e6
538	2	0	1.87e6
539	1	1	9.005e5
540	0	1	2.357e6
541	0	1	2.357e6
542	1	2	7.66e5
543	2	0	1.87e6
544	2	1	1.6945e6
545	0	2	2.1e5
546	1	1	9.005e5
547	0	0	2.726e6
548	0	2	2.1e5
549	0	1	2.357e6
550	1	0	-7.11e5
551	1	1	9.005e5
552	1	2	7.66e5
553	0	1	2.357e6
554	0	1	2.357e6
555	0	2	2.1e5
556	1	1	9.005e5
557	1	2	7.66e5
558	1	0	-7.11e5
559	0	1	2.357e6
560	1	2	7.66e5
561	1	0	-7.11e5
562	1	2	7.66e5
563	0	2	2.1e5
564	1	0	-7.11e5
565	0	0	2.726e6
566	0	1	2.357e6
567	2	2	1.425e6
568	1	1	9.005e5
569	1	1	9.005e5
570	2	2	1.425e6
571	1	2	7.66e5
572	1	1	9.005e5
573	0	0	2.726e6
574	0	0	2.726e6
575	2	0	1.87e6
576	2	1	1.6945e6
577	0	1	2.357e6
578	2	0	1.87e6
579	0	0	2.726e6
580	0	0	2.726e6
581	2	2	1.425e6
582	0	1	2.357e6
583	0	2	2.1e5
584	0	2	2.1e5
585	0	1	2.357e6
586	1	0	-7.11e5
587	1	1	9.005e5
588	0	1	2.357e6
589	0	0	2.726e6
590	0	1	2.357e6
591	0	1	2.357e6
592	1	2	7.66e5
593	0	1	2.357e6
594	0	2	2.1e5
595	1	0	-7.11e5
596	1	0	-7.11e5
597	2	1	1.6945e6
598	0	1	2.357e6
599	0	2	2.1e5
600	2	1	1.6945e6
601	0	1	2.357e6
602	2	1	1.6945e6
603	0	1	2.357e6
604	0	0	2.726e6
605	0	2	2.1e5
606	1	2	7.66e5
607	2	1	1.6945e6
608	2	0	1.87e6
609	1	0	-7.11e5
610	0	0	2.726e6
611	0	1	2.357e6
612	2	0	1.87e6
613	0	2	2.1e5
614	2	0	1.87e6
615	2	1	1.6945e6
616	2	1	1.6945e6
617	2	2	1.425e6
618	1	0	-7.11e5
619	1	0	-7.11e5
620	0	1	2.357e6
621	2	1	1.6945e6
622	1	1	9.005e5
623	1	1	9.005e5
624	0	2	2.1e5
625	2	0	1.87e6
626	0	2	2.1e5
627	0	1	2.357e6
628	1	1	9.005e5
629	0	2	2.1e5
630	1	1	9.005e5
631	1	2	7.66e5
632	1	1	9.005e5
633	0	0	2.726e6
634	0	2	2.1e5
635	0	0	2.726e6
636	0	2	2.1e5
637	0	2	2.1e5
638	2	1	1.6945e6
639	1	1	9.005e5
640	0	1	2.357e6
641	0	0	2.726e6
642	1	1	9.005e5
643	1	0	-7.11e5
644	0	1	2.357e6
645	0	1	2.357e6
646	0	1	2.357e6
647	0	1	2.357e6
648	2	1	1.6945e6
649	2	0	1.87e6
650	2	0	1.87e6
651	2	1	1.6945e6
652	0	2	2.1e5
653	0	1	2.357e6
654	2	1	1.6945e6
655	2	0	1.87e6
656	0	2	2.1e5
657	1	1	9.005e5
658	0	0	2.726e6
659	1	2	7.66e5
660	0	0	2.726e6
661	1	2	7.66e5
662	1	2	7.66e5
663	2	2	1.425e6
664	0	0	2.726e6
665	0	1	2.357e6
666	0	1	2.357e6
667	1	0	-7.11e5
668	2	2	1.425e6
669	0	0	2.726e6
670	1	1	9.005e5
671	1	2	7.66e5
672	1	1	9.005e5
673	2	0	1.87e6
674	0	1	2.357e6
675	2	2	1.425e6
676	2	0	1.87e6
677	1	0	-7.11e5
678	2	1	1.6945e6
679	1	1	9.005e5
680	2	1	1.6945e6
681	2	2	1.425e6
682	1	2	7.66e5
683	1	0	-7.11e5
684	0	2	2.1e5
685	2	1	1.6945e6
686	0	2	2.1e5
687	0	1	2.357e6
688	0	2	2.1e5
689	2	0	1.87e6
690	1	0	-7.11e5
691	0	2	2.1e5
692	0	1	2.357e6
693	2	0	1.87e6
694	0	0	2.726e6
695	2	0	1.87e6
696	1	2	7.66e5
697	1	0	-7.11e5
698	1	0	-7.11e5
699	0	2	2.1e5
700	0	2	2.1e5
701	1	1	9.005e5
702	2	1	1.6945e6
703	1	1	9.005e5
704	0	0	2.726e6
705	0	1	2.357e6
706	0	1	2.357e6
707	0	1	2.357e6
708	0	1	2.357e6
709	2	2	1.425e6
710	0	1	2.357e6
711	1	0	-7.11e5
712	1	1	9.005e5
713	2	2	1.425e6
714	1	0	-7.11e5
715	0	0	2.726e6
716	2	1	1.6945e6
717	2	2	1.425e6
718	0	0	2.726e6
719	0	1	2.357e6
720	2	1	1.6945e6
721	0	1	2.357e6
722	1	1	9.005e5
723	2	0	1.87e6
724	0	2	2.1e5
725	2	0	1.87e6
726	1	1	9.005e5
727	0	2	2.1e5
728	1	1	9.005e5
729	2	0	1.87e6
730	1	0	-7.11e5
731	0	2	2.1e5
732	1	2	7.66e5
733	0	1	2.357e6
734	0	1	2.357e6
735	2	2	1.425e6
736	1	0	-7.11e5
737	1	2	7.66e5
738	2	1	1.6945e6
739	1	2	7.66e5
740	0	1	2.357e6
741	2	2	1.425e6
742	1	0	-7.11e5
743	1	2	7.66e5
744	2	1	1.6945e6
745	0	2	2.1e5
746	2	1	1.6945e6
747	1	0	-7.11e5
748	1	1	9.005e5
749	2	0	1.87e6
750	2	0	1.87e6
751	2	1	1.6945e6
752	2	0	1.87e6
753	0	1	2.357e6
754	1	2	7.66e5
755	0	1	2.357e6
756	1	0	-7.11e5
757	0	0	2.726e6
758	0	0	2.726e6
759	0	2	2.1e5
760	2	2	1.425e6
761	0	2	2.1e5
762	1	0	-7.11e5
763	0	0	2.726e6
764	1	2	7.66e5
765	0	2	2.1e5
766	0	1	2.357e6
767	2	1	1.6945e6
768	0	0	2.726e6
769	2	1	1.6945e6
770	0	0	2.726e6
771	0	1	2.357e6
772	0	2	2.1e5
773	0	1	2.357e6
774	0	2	2.1e5
775	0	0	2.726e6
776	0	0	2.726e6
777	2	1	1.6945e6
778	0	2	2.1e5
779	0	2	2.1e5
780	0	2	2.1e5
781	2	2	1.425e6
782	2	2	1.425e6
783	1	1	9.005e5
784	0	1	2.357e6
785	1	2	7.66e5
786	1	1	9.005e5
787	1	0	-7.11e5
788	1	0	-7.11e5
789	0	2	2.1e5
790	2	2	1.425e6
791	1	2	7.66e5
792	0	2	2.1e5
793	0	2	2.1e5
794	0	2	2.1e5
795	0	2	2.1e5
796	1	2	7.66e5
797	2	2	1.425e6
798	0	0	2.726e6
799	1	1	9.005e5
800	0	2	2.1e5
801	0	0	2.726e6
802	1	0	-7.11e5
803	0	0	2.726e6
804	0	2	2.1e5
805	0	2	2.1e5
806	0	2	2.1e5
807	0	0	2.726e6
808	1	0	-7.11e5
809	1	2	7.66e5
810	0	1	2.357e6
811	0	2	2.1e5
812	2	1	1.6945e6
813	1	2	7.66e5
814	0	0	2.726e6
815	2	0	1.87e6
816	1	2	7.66e5
817	0	2	2.1e5
818	2	1	1.6945e6
819	1	0	-7.11e5
820	1	2	7.66e5
821	2	0	1.87e6
822	1	1	9.005e5
823	0	2	2.1e5
824	1	2	7.66e5
825	0	0	2.726e6
826	1	1	9.005e5
827	1	2	7.66e5
828	2	0	1.87e6
829	0	1	2.357e6
830	0	1	2.357e6
831	0	2	2.1e5
832	1	0	-7.11e5
833	1	0	-7.11e5
834	2	0	1.87e6
835	0	2	2.1e5
836	2	2	1.425e6
837	0	1	2.357e6
838	0	2	2.1e5
839	0	2	2.1e5
840	1	1	9.005e5
841	2	1	1.6945e6
842	2	2	1.425e6
843	1	2	7.66e5
844	2	2	1.425e6
845	0	1	2.357e6
846	1	2	7.66e5
847	0	2	2.1e5
848	1	0	-7.11e5
849	0	2	2.1e5
850	0	2	2.1e5
851	1	1	9.005e5
852	0	0	2.726e6
853	0	2	2.1e5
854	0	0	2.726e6
855	1	0	-7.11e5
856	2	2	1.425e6
857	0	0	2.726e6
858	1	1	9.005e5
859	1	1	9.005e5
860	0	2	2.1e5
861	2	0	1.87e6
862	1	2	7.66e5
863	1	2	7.66e5
864	1	0	-7.11e5
865	1	1	9.005e5
866	0	1	2.357e6
867	1	1	9.005e5
868	2	2	1.425e6
869	1	2	7.66e5
870	2	0	1.87e6
871	0	2	2.1e5
872	0	1	2.357e6
873	1	0	-7.11e5
874	1	2	7.66e5
875	2	2	1.425e6
876	1	2	7.66e5
877	1	1	9.005e5
878	2	0	1.87e6
879	0	0	2.726e6
880	0	0	2.726e6
881	1	1	9.005e5
882	0	0	2.726e6
883	0	2	2.1e5
884	0	1	2.357e6
885	1	0	-7.11e5
886	1	1	9.005e5
887	0	2	2.1e5
888	2	2	1.425e6
889	1	0	-7.11e5
890	2	1	1.6945e6
891	2	1	1.6945e6
892	1	2	7.66e5
893	2	2	1.425e6
894	0	2	2.1e5
895	1	1	9.005e5
896	0	0	2.726e6
897	2	2	1.425e6
898	0	1	2.357e6
899	2	2	1.425e6
900	0	2	2.1e5
901	0	2	2.1e5
902	0	2	2.1e5
903	0	2	2.1e5
904	2	0	1.87e6
905	0	0	2.726e6
906	1	2	7.66e5
907	2	2	1.425e6
908	2	1	1.6945e6
909	1	0	-7.11e5
910	0	2	2.1e5
911	2	0	1.87e6
912	1	1	9.005e5
913	2	2	1.425e6
914	1	2	7.66e5
915	1	1	9.005e5
916	0	2	2.1e5
917	1	2	7.66e5
918	1	0	-7.11e5
919	0	2	2.1e5
920	2	0	1.87e6
921	1	1	9.005e5
922	1	0	-7.11e5
923	1	0	-7.11e5
924	2	2	1.425e6
925	2	2	1.425e6
926	2	1	1.6945e6
927	1	0	-7.11e5
928	2	0	1.87e6
929	0	1	2.357e6
930	0	2	2.1e5
931	0	1	2.357e6
932	0	1	2.357e6
933	2	0	1.87e6
934	2	2	1.425e6
935	0	2	2.1e5
936	0	1	2.357e6
937	1	2	7.66e5
938	0	1	2.357e6
939	2	1	1.6945e6
940	0	2	2.1e5
941	2	1	1.6945e6
942	1	0	-7.11e5
943	1	2	7.66e5
944	2	1	1.6945e6
945	0	2	2.1e5
946	1	2	7.66e5
947	1	1	9.005e5
948	0	1	2.357e6
949	0	0	2.726e6
950	1	1	9.005e5
951	1	2	7.66e5
952	1	0	-7.11e5
953	2	1	1.6945e6
954	1	1	9.005e5
955	0	2	2.1e5
956	1	1	9.005e5
957	2	1	1.6945e6
958	2	1	1.6945e6
959	0	0	2.726e6
960	1	2	7.66e5
961	0	0	2.726e6
962	1	1	9.005e5
963	0	1	2.357e6
964	2	0	1.87e6
965	0	2	2.1e5
966	1	0	-7.11e5
967	1	1	9.005e5
968	1	2	7.66e5
969	2	2	1.425e6
970	1	2	7.66e5
971	0	0	2.726e6
972	2	0	1.87e6
973	0	0	2.726e6
974	1	1	9.005e5
975	2	0	1.87e6
976	0	1	2.357e6
977	2	1	1.6945e6
978	2	0	1.87e6
979	0	2	2.1e5
980	0	0	2.726e6
981	2	2	1.425e6
982	0	0	2.726e6
983	2	2	1.425e6
984	1	0	-7.11e5
985	1	0	-7.11e5
986	0	1	2.357e6
987	0	1	2.357e6
988	0	0	2.726e6
989	0	0	2.726e6
990	2	2	1.425e6
991	0	1	2.357e6
992	0	1	2.357e6
993	0	2	2.1e5
994	0	2	2.1e5
995	2	2	1.425e6
996	1	0	-7.11e5
997	1	2	7.66e5
998	0	2	2.1e5
999	2	1	1.6945e6
1000	2	1	1.6945e6
1001	2	0	1.87e6
1002	0	0	2.726e6
1003	1	0	-7.11e5
1004	0	2	2.1e5
1005	0	0	2.726e6
1006	0	1	2.357e6
1007	0	0	2.726e6
1008	0	2	2.1e5
1009	2	1	1.6945e6
1010	0	1	2.357e6
1011	0	1	2.357e6
1012	0	0	2.726e6
1013	0	2	2.1e5
1014	1	0	-7.11e5
1015	1	2	7.66e5
1016	0	0	2.726e6
1017	2	0	1.87e6
1018	2	0	1.87e6
1019	2	1	1.6945e6
1020	1	0	-7.11e5
1021	1	1	9.005e5
1022	1	0	-7.11e5
1023	0	2	2.1e5
1024	1	0	-7.11e5
1025	0	2	2.1e5
1026	1	2	7.66e5
1027	1	2	7.66e5
1028	1	2	7.66e5
1029	0	1	2.357e6
1030	0	1	2.357e6
1031	1	0	-7.11e5
1032	2	1	1.6945e6
1033	1	2	7.66e5
1034	1	2	7.66e5
1035	0	2	2.1e5
1036	2	1	1.6945e6
1037	0	2	2.1e5
1038	0	0	2.726e6
1039	0	2	2.1e5
1040	0	0	2.726e6
1041	0	2	2.1e5
1042	2	0	1.87e6
1043	2	0	1.87e6
1044	0	0	2.726e6
1045	2	2	1.425e6
1046	2	2	1.425e6
1047	1	0	-7.11e5
1048	0	2	2.1e5
1049	1	0	-7.11e5
1050	0	0	2.726e6
1051	0	0	2.726e6
1052	2	1	1.6945e6
1053	2	2	1.425e6
1054	1	0	-7.11e5
1055	0	1	2.357e6
1056	2	1	1.6945e6
1057	0	1	2.357e6
1058	0	2	2.1e5
1059	0	2	2.1e5
1060	1	0	-7.11e5
1061	1	0	-7.11e5
1062	1	0	-7.11e5
1063	1	0	-7.11e5
1064	1	1	9.005e5
1065	1	1	9.005e5
1066	0	2	2.1e5
1067	2	0	1.87e6
1068	1	0	-7.11e5
1069	0	2	2.1e5
1070	1	0	-7.11e5
1071	2	0	1.87e6
1072	1	2	7.66e5
1073	2	0	1.87e6
1074	1	1	9.005e5
1075	2	1	1.6945e6
1076	2	2	1.425e6
1077	0	2	2.1e5
1078	0	2	2.1e5
1079	2	1	1.6945e6
1080	2	0	1.87e6
1081	0	0	2.726e6
1082	2	2	1.425e6
1083	2	0	1.87e6
1084	0	2	2.1e5
1085	2	1	1.6945e6
1086	0	2	2.1e5
1087	2	1	1.6945e6
1088	0	0	2.726e6
1089	1	0	-7.11e5
1090	0	1	2.357e6
1091	0	2	2.1e5
1092	2	1	1.6945e6
1093	1	1	9.005e5
1094	2	1	1.6945e6
1095	1	1	9.005e5
1096	0	1	2.357e6
1097	2	2	1.425e6
1098	0	0	2.726e6
1099	0	0	2.726e6
1100	2	2	1.425e6
1101	2	1	1.6945e6
1102	2	1	1.6945e6
1103	1	0	-7.11e5
1104	1	2	7.66e5
1105	0	0	2.726e6
1106	1	2	7.66e5
1107	2	2	1.425e6
1108	1	1	9.005e5
1109	0	1	2.357e6
1110	2	0	1.87e6
1111	1	1	9.005e5
1112	0	2	2.1e5
1113	0	1	2.357e6
1114	1	2	7.66e5
1115	1	1	9.005e5
1116	0	2	2.1e5
1117	0	0	2.726e6
1118	0	2	2.1e5
1119	2	0	1.87e6
1120	2	0	1.87e6
1121	1	0	-7.11e5
1122	1	0	-7.11e5
1123	0	2	2.1e5
1124	1	0	-7.11e5
1125	0	0	2.726e6
1126	2	0	1.87e6
1127	1	2	7.66e5
1128	2	0	1.87e6
1129	1	2	7.66e5
1130	0	1	2.357e6
1131	0	0	2.726e6
1132	2	1	1.6945e6
1133	0	0	2.726e6
