ids	Export_Decision	Economical_State	Profit
275	2	0	210000
276	2	0	210000
277	0	2	1870000
278	2	2	1425000
279	2	1	766000
280	1	1	900500
281	2	1	766000
282	1	2	1694500
283	0	0	2726000
284	1	1	900500
285	2	1	766000
286	1	1	900500
287	0	0	2726000
288	2	0	210000
289	1	1	900500
290	1	2	1694500
291	2	2	1425000
292	0	0	2726000
293	2	2	1425000
294	0	0	2726000
295	2	0	210000
296	1	1	900500
297	0	0	2726000
298	2	1	766000
299	0	1	-711000
300	0	1	-711000
301	1	0	2357000
302	2	2	1425000
303	0	0	2726000
304	2	1	766000
305	1	0	2357000
306	2	0	210000
307	0	1	-711000
308	0	0	2726000
309	0	2	1870000
310	2	2	1425000
311	2	2	1425000
312	0	0	2726000
313	1	0	2357000
314	1	1	900500
315	0	0	2726000
316	1	0	2357000
317	0	0	2726000
318	0	2	1870000
319	0	1	-711000
320	2	2	1425000
321	1	2	1694500
322	1	0	2357000
323	0	0	2726000
324	1	1	900500
325	2	1	766000
326	1	0	2357000
327	0	0	2726000
328	2	1	766000
329	0	1	-711000
330	1	0	2357000
331	2	2	1425000
332	2	1	766000
333	0	2	1870000
334	1	0	2357000
335	2	1	766000
336	1	0	2357000
337	1	1	900500
338	0	1	-711000
339	0	2	1870000
340	0	0	2726000
341	1	0	2357000
342	2	1	766000
343	0	0	2726000
344	2	1	766000
345	2	2	1425000
346	0	2	1870000
347	1	2	1694500
348	0	2	1870000
349	0	0	2726000
350	2	1	766000
351	1	1	900500
352	0	1	-711000
353	1	0	2357000
354	1	0	2357000
355	1	2	1694500
356	1	2	1694500
357	2	2	1425000
358	2	1	766000
359	0	0	2726000
360	2	2	1425000
361	0	0	2726000
362	1	2	1694500
363	2	0	210000
364	1	1	900500
365	2	2	1425000
366	2	0	210000
367	1	0	2357000
368	1	2	1694500
369	0	1	-711000
370	1	1	900500
371	2	0	210000
372	0	2	1870000
373	2	1	766000
374	1	1	900500
375	0	2	1870000
376	2	1	766000
377	2	1	766000
378	1	0	2357000
379	2	0	210000
380	2	2	1425000
381	2	0	210000
382	2	0	210000
383	0	1	-711000
384	1	0	2357000
385	1	2	1694500
386	1	1	900500
387	1	1	900500
388	1	2	1694500
389	0	2	1870000
390	2	0	210000
391	0	2	1870000
392	1	2	1694500
393	2	0	210000
394	2	0	210000
395	1	0	2357000
396	1	2	1694500
397	2	1	766000
398	0	2	1870000
399	2	0	210000
400	2	2	1425000
401	0	0	2726000
402	2	0	210000
403	1	0	2357000
404	1	1	900500
405	2	0	210000
406	2	0	210000
407	1	1	900500
408	1	1	900500
409	0	1	-711000
410	2	1	766000
411	0	1	-711000
412	2	2	1425000
413	1	0	2357000
414	0	0	2726000
415	2	0	210000
416	2	2	1425000
417	0	1	-711000
418	1	0	2357000
419	1	1	900500
420	1	2	1694500
421	0	2	1870000
422	2	0	210000
423	1	1	900500
424	2	1	766000
425	2	1	766000
426	1	0	2357000
427	1	0	2357000
428	2	2	1425000
429	2	0	210000
430	1	1	900500
431	0	2	1870000
432	0	0	2726000
433	0	1	-711000
434	0	2	1870000
435	0	0	2726000
436	1	0	2357000
437	1	1	900500
438	2	0	210000
439	2	0	210000
440	0	0	2726000
441	2	0	210000
442	1	2	1694500
443	1	0	2357000
444	2	2	1425000
445	2	0	210000
446	1	2	1694500
447	0	0	2726000
448	1	1	900500
449	2	0	210000
450	2	0	210000
451	0	0	2726000
452	1	1	900500
453	2	1	766000
454	0	0	2726000
455	1	2	1694500
456	1	1	900500
457	0	0	2726000
458	2	0	210000
459	2	2	1425000
460	1	2	1694500
461	2	0	210000
462	2	1	766000
463	1	0	2357000
464	0	1	-711000
465	2	1	766000
466	2	0	210000
467	2	2	1425000
468	2	0	210000
469	0	1	-711000
470	1	2	1694500
471	1	1	900500
472	1	0	2357000
473	2	1	766000
474	2	1	766000
475	2	1	766000
476	1	0	2357000
477	2	1	766000
478	1	2	1694500
479	0	1	-711000
480	2	2	1425000
481	0	0	2726000
482	1	1	900500
483	1	0	2357000
484	1	0	2357000
485	1	0	2357000
486	2	2	1425000
487	2	2	1425000
488	1	1	900500
489	1	1	900500
490	2	0	210000
491	2	0	210000
492	1	2	1694500
493	2	0	210000
494	1	2	1694500
495	2	1	766000
496	2	0	210000
497	0	1	-711000
498	0	1	-711000
499	2	0	210000
500	2	0	210000
501	0	1	-711000
502	1	1	900500
503	2	1	766000
504	1	2	1694500
505	0	2	1870000
506	2	2	1425000
507	1	0	2357000
508	0	1	-711000
509	1	2	1694500
510	1	0	2357000
511	2	0	210000
512	2	0	210000
513	1	0	2357000
514	0	0	2726000
515	0	2	1870000
516	2	1	766000
517	1	1	900500
518	1	2	1694500
519	2	2	1425000
520	0	2	1870000
521	0	2	1870000
522	0	2	1870000
523	2	0	210000
524	1	0	2357000
525	1	0	2357000
526	0	2	1870000
527	1	0	2357000
528	2	1	766000
529	2	2	1425000
530	1	1	900500
531	2	2	1425000
532	2	0	210000
533	0	0	2726000
534	1	1	900500
535	0	1	-711000
536	1	1	900500
537	1	2	1694500
538	0	1	-711000
539	0	2	1870000
540	1	0	2357000
541	1	2	1694500
542	2	2	1425000
543	2	0	210000
544	1	0	2357000
545	0	2	1870000
546	2	0	210000
547	0	2	1870000
548	2	0	210000
549	2	1	766000
550	0	0	2726000
551	0	2	1870000
552	0	0	2726000
553	0	2	1870000
554	0	1	-711000
555	0	0	2726000
556	1	1	900500
557	2	1	766000
558	1	2	1694500
559	1	1	900500
560	2	0	210000
561	1	0	2357000
562	1	0	2357000
563	1	0	2357000
564	2	0	210000
565	0	0	2726000
566	1	1	900500
567	1	1	900500
568	1	1	900500
569	2	1	766000
570	0	2	1870000
571	1	0	2357000
572	1	0	2357000
573	1	2	1694500
574	1	1	900500
575	0	0	2726000
576	1	2	1694500
577	2	0	210000
578	1	1	900500
579	1	0	2357000
580	2	1	766000
581	2	0	210000
582	0	0	2726000
583	1	2	1694500
584	1	0	2357000
585	2	0	210000
586	1	0	2357000
587	2	1	766000
588	0	0	2726000
589	2	2	1425000
590	0	2	1870000
591	2	1	766000
592	2	2	1425000
593	1	0	2357000
594	0	0	2726000
595	2	1	766000
596	2	0	210000
597	2	1	766000
598	1	0	2357000
599	2	1	766000
600	1	0	2357000
601	0	1	-711000
602	0	0	2726000
603	1	2	1694500
604	1	0	2357000
605	0	0	2726000
606	2	2	1425000
607	0	2	1870000
608	0	0	2726000
609	2	0	210000
610	2	0	210000
611	2	1	766000
612	2	0	210000
613	1	0	2357000
614	0	0	2726000
615	2	0	210000
616	0	1	-711000
617	1	0	2357000
618	2	0	210000
619	2	2	1425000
620	0	2	1870000
621	0	1	-711000
622	2	2	1425000
623	1	2	1694500
624	0	0	2726000
625	0	0	2726000
626	2	2	1425000
627	1	0	2357000
628	2	1	766000
629	2	0	210000
630	2	2	1425000
631	2	1	766000
632	1	0	2357000
633	0	2	1870000
634	0	0	2726000
635	1	2	1694500
636	2	2	1425000
637	0	0	2726000
638	0	1	-711000
639	1	2	1694500
640	2	0	210000
641	0	0	2726000
642	0	0	2726000
643	0	1	-711000
644	2	0	210000
645	1	1	900500
646	0	0	2726000
647	0	0	2726000
648	1	0	2357000
649	0	1	-711000
650	0	0	2726000
651	1	0	2357000
652	1	1	900500
653	1	1	900500
654	0	2	1870000
655	2	0	210000
656	1	1	900500
657	2	0	210000
658	0	1	-711000
659	0	2	1870000
660	2	2	1425000
661	2	1	766000
662	1	1	900500
663	0	2	1870000
664	0	1	-711000
665	2	0	210000
666	1	0	2357000
667	1	2	1694500
668	1	2	1694500
669	0	0	2726000
670	2	1	766000
671	1	0	2357000
672	1	0	2357000
673	2	2	1425000
674	2	2	1425000
675	0	0	2726000
676	0	1	-711000
677	0	2	1870000
678	1	2	1694500
679	2	0	210000
680	1	1	900500
681	2	1	766000
682	0	1	-711000
683	1	2	1694500
684	2	1	766000
685	1	1	900500
686	2	1	766000
687	0	0	2726000
688	0	0	2726000
689	1	2	1694500
690	2	1	766000
691	2	0	210000
692	2	0	210000
693	1	2	1694500
694	2	2	1425000
695	0	2	1870000
696	2	0	210000
697	0	0	2726000
698	0	2	1870000
699	0	0	2726000
700	1	0	2357000
701	1	1	900500
702	1	0	2357000
703	0	0	2726000
704	1	0	2357000
705	0	1	-711000
706	0	2	1870000
707	0	1	-711000
708	1	1	900500
709	1	0	2357000
710	2	2	1425000
711	2	0	210000
712	0	2	1870000
713	1	2	1694500
714	2	0	210000
715	0	1	-711000
716	2	0	210000
717	0	2	1870000
718	1	1	900500
719	1	1	900500
720	1	2	1694500
721	0	0	2726000
722	0	1	-711000
723	1	0	2357000
724	0	2	1870000
725	2	1	766000
726	0	2	1870000
727	2	1	766000
728	0	1	-711000
729	2	0	210000
730	2	1	766000
731	2	1	766000
732	0	1	-711000
733	1	2	1694500
734	2	0	210000
735	0	1	-711000
736	0	2	1870000
737	1	2	1694500
738	2	2	1425000
739	2	2	1425000
740	0	1	-711000
741	1	2	1694500
742	2	1	766000
743	2	2	1425000
744	2	0	210000
745	1	1	900500
746	1	1	900500
747	1	1	900500
748	0	1	-711000
749	1	0	2357000
750	0	0	2726000
751	2	0	210000
752	2	0	210000
753	0	0	2726000
754	1	1	900500
755	0	1	-711000
756	0	0	2726000
757	2	1	766000
758	2	0	210000
759	2	1	766000
760	1	2	1694500
761	0	0	2726000
762	2	0	210000
763	2	1	766000
764	2	2	1425000
765	0	0	2726000
766	0	2	1870000
767	0	2	1870000
768	1	2	1694500
769	1	2	1694500
770	1	0	2357000
771	2	0	210000
772	1	0	2357000
773	1	0	2357000
774	1	2	1694500
775	2	2	1425000
776	1	1	900500
777	2	2	1425000
778	1	2	1694500
779	0	2	1870000
780	1	2	1694500
781	1	2	1694500
782	0	0	2726000
783	1	2	1694500
784	2	2	1425000
785	0	0	2726000
786	0	2	1870000
787	1	1	900500
788	0	2	1870000
789	0	0	2726000
790	0	2	1870000
791	2	1	766000
792	1	0	2357000
793	0	1	-711000
794	2	0	210000
795	2	1	766000
796	0	0	2726000
797	0	0	2726000
798	1	0	2357000
799	1	0	2357000
800	2	0	210000
801	1	0	2357000
802	0	0	2726000
803	1	0	2357000
804	2	0	210000
805	2	1	766000
806	0	2	1870000
807	0	0	2726000
808	1	0	2357000
809	2	0	210000
810	0	2	1870000
811	1	1	900500
812	0	2	1870000
813	0	1	-711000
814	2	2	1425000
815	0	2	1870000
816	2	2	1425000
817	0	0	2726000
818	0	2	1870000
819	2	2	1425000
820	2	0	210000
821	0	0	2726000
822	2	2	1425000
823	1	0	2357000
824	0	1	-711000
825	0	2	1870000
826	0	1	-711000
827	1	1	900500
828	0	1	-711000
829	1	0	2357000
830	0	0	2726000
831	2	0	210000
832	2	2	1425000
833	2	1	766000
834	1	1	900500
835	0	0	2726000
836	0	1	-711000
837	1	1	900500
838	1	0	2357000
839	0	0	2726000
840	0	1	-711000
841	1	2	1694500
842	2	0	210000
843	2	2	1425000
844	0	0	2726000
845	1	0	2357000
846	1	0	2357000
847	1	2	1694500
848	0	0	2726000
849	0	1	-711000
850	0	2	1870000
851	0	0	2726000
852	1	0	2357000
853	2	1	766000
854	1	0	2357000
855	2	1	766000
856	0	0	2726000
857	1	2	1694500
858	2	2	1425000
859	2	1	766000
860	1	0	2357000
861	2	2	1425000
862	1	0	2357000
863	1	2	1694500
864	1	1	900500
865	2	0	210000
866	1	1	900500
867	2	0	210000
868	0	0	2726000
869	0	0	2726000
870	2	0	210000
871	2	2	1425000
872	0	0	2726000
873	2	1	766000
874	2	0	210000
875	1	0	2357000
876	2	2	1425000
877	1	0	2357000
878	1	0	2357000
879	0	2	1870000
880	1	0	2357000
881	0	1	-711000
882	0	1	-711000
883	0	0	2726000
884	2	0	210000
885	0	0	2726000
886	0	0	2726000
887	0	2	1870000
888	2	2	1425000
889	1	1	900500
890	2	2	1425000
891	1	2	1694500
892	0	1	-711000
893	1	0	2357000
894	0	0	2726000
895	2	2	1425000
896	0	0	2726000
897	2	0	210000
898	1	1	900500
899	2	0	210000
900	2	2	1425000
901	0	2	1870000
902	0	1	-711000
903	0	0	2726000
904	0	1	-711000
905	2	0	210000
906	1	1	900500
907	1	0	2357000
908	0	2	1870000
909	0	1	-711000
910	1	0	2357000
911	0	0	2726000
912	2	2	1425000
913	0	0	2726000
914	0	1	-711000
915	1	0	2357000
916	1	1	900500
917	1	2	1694500
918	2	2	1425000
919	1	2	1694500
920	1	2	1694500
921	0	1	-711000
922	1	2	1694500
923	1	0	2357000
924	2	2	1425000
925	0	0	2726000
926	2	2	1425000
927	1	1	900500
928	2	0	210000
929	1	2	1694500
930	1	2	1694500
931	2	1	766000
932	2	2	1425000
933	2	2	1425000
934	0	1	-711000
935	1	0	2357000
936	1	1	900500
937	1	0	2357000
938	1	2	1694500
939	1	0	2357000
940	2	0	210000
941	0	2	1870000
942	2	0	210000
943	0	0	2726000
944	0	0	2726000
945	2	2	1425000
946	1	2	1694500
947	2	0	210000
948	1	2	1694500
949	0	1	-711000
950	2	2	1425000
951	0	1	-711000
952	1	0	2357000
953	2	0	210000
954	2	0	210000
955	1	2	1694500
956	1	0	2357000
957	2	0	210000
958	2	2	1425000
959	0	1	-711000
960	2	1	766000
961	1	1	900500
962	1	2	1694500
963	0	2	1870000
964	2	1	766000
965	1	0	2357000
966	2	1	766000
967	2	0	210000
968	2	0	210000
969	1	0	2357000
970	2	1	766000
971	2	2	1425000
972	0	0	2726000
973	2	1	766000
974	2	1	766000
975	2	0	210000
976	1	0	2357000
977	0	2	1870000
978	0	0	2726000
979	0	0	2726000
980	2	2	1425000
981	1	0	2357000
982	0	2	1870000
983	1	1	900500
984	0	2	1870000
985	0	0	2726000
986	0	2	1870000
987	2	0	210000
988	2	0	210000
989	2	2	1425000
990	1	1	900500
991	2	2	1425000
992	0	0	2726000
993	2	0	210000
994	0	2	1870000
995	0	0	2726000
996	2	1	766000
997	0	2	1870000
998	1	2	1694500
999	2	2	1425000
1000	1	0	2357000
1001	0	0	2726000
1002	0	1	-711000
1003	2	0	210000
1004	0	1	-711000
1005	2	2	1425000
1006	0	1	-711000
1007	2	2	1425000
1008	1	1	900500
1009	2	1	766000
1010	0	1	-711000
1011	1	1	900500
1012	2	0	210000
1013	1	1	900500
1014	2	1	766000
1015	0	2	1870000
1016	2	0	210000
1017	1	2	1694500
1018	1	2	1694500
1019	2	0	210000
1020	0	0	2726000
1021	2	0	210000
1022	0	0	2726000
1023	0	0	2726000
1024	1	0	2357000
1025	1	1	900500
1026	0	2	1870000
1027	0	1	-711000
1028	1	1	900500
1029	1	2	1694500
1030	2	2	1425000
1031	1	1	900500
1032	2	0	210000
1033	1	1	900500
1034	2	1	766000
1035	2	2	1425000
1036	0	2	1870000
1037	0	2	1870000
1038	0	0	2726000
1039	1	1	900500
1040	2	2	1425000
1041	1	0	2357000
1042	0	0	2726000
1043	2	1	766000
1044	0	1	-711000
1045	2	2	1425000
1046	2	1	766000
1047	1	0	2357000
1048	1	1	900500
1049	1	0	2357000
1050	0	0	2726000
1051	2	1	766000
1052	1	1	900500
1053	2	0	210000
1054	0	0	2726000
1055	2	0	210000
1056	1	0	2357000
1057	0	0	2726000
1058	0	1	-711000
1059	0	1	-711000
1060	0	0	2726000
1061	1	0	2357000
1062	0	2	1870000
1063	0	1	-711000
1064	2	2	1425000
1065	2	1	766000
1066	0	0	2726000
1067	0	2	1870000
1068	0	2	1870000
1069	2	2	1425000
1070	1	2	1694500
1071	1	1	900500
1072	1	0	2357000
1073	1	0	2357000
1074	1	1	900500
1075	2	0	210000
1076	0	2	1870000
1077	0	1	-711000
1078	0	1	-711000
1079	0	0	2726000
1080	1	0	2357000
1081	2	2	1425000
1082	1	1	900500
1083	2	2	1425000
1084	2	2	1425000
1085	0	0	2726000
1086	2	2	1425000
1087	0	1	-711000
1088	2	0	210000
1089	0	1	-711000
1090	1	2	1694500
1091	0	0	2726000
1092	2	0	210000
1093	0	2	1870000
1094	2	0	210000
1095	1	0	2357000
1096	0	0	2726000
1097	1	2	1694500
1098	1	0	2357000
1099	1	2	1694500
1100	1	0	2357000
1101	0	1	-711000
1102	0	0	2726000
1103	1	1	900500
1104	1	1	900500
1105	0	1	-711000
1106	1	0	2357000
1107	2	1	766000
1108	1	0	2357000
1109	1	2	1694500
1110	1	1	900500
1111	1	0	2357000
1112	2	2	1425000
1113	2	2	1425000
1114	0	0	2726000
1115	1	2	1694500
1116	2	1	766000
1117	1	1	900500
1118	2	1	766000
1119	1	2	1694500
1120	1	0	2357000
1121	1	0	2357000
1122	0	2	1870000
1123	0	0	2726000
1124	0	1	-711000
1125	2	2	1425000
1126	0	0	2726000
1127	1	0	2357000
1128	2	1	766000
1129	2	2	1425000
1130	1	0	2357000
1131	2	1	766000
1132	1	1	900500
1133	2	0	210000
1134	1	1	900500
1135	1	0	2357000
1136	0	1	-711000
1137	2	1	766000
1138	0	0	2726000
1139	0	2	1870000
1140	2	2	1425000
1141	2	1	766000
1142	2	0	210000
1143	0	1	-711000
1144	1	2	1694500
1145	0	1	-711000
1146	1	1	900500
1147	1	0	2357000
1148	0	1	-711000
1149	2	1	766000
1150	1	1	900500
1151	0	0	2726000
1152	1	0	2357000
1153	2	1	766000
1154	0	0	2726000
1155	0	1	-711000
1156	2	0	210000
1157	1	0	2357000
1158	0	2	1870000
1159	2	2	1425000
1160	1	1	900500
1161	0	0	2726000
1162	0	2	1870000
1163	0	0	2726000
1164	2	0	210000
1165	0	0	2726000
1166	2	0	210000
1167	0	0	2726000
1168	0	2	1870000
1169	1	1	900500
1170	2	1	766000
1171	1	1	900500
1172	0	1	-711000
1173	0	2	1870000
1174	0	1	-711000
1175	0	1	-711000
1176	2	0	210000
1177	1	2	1694500
1178	1	2	1694500
1179	0	2	1870000
1180	1	2	1694500
1181	0	2	1870000
1182	0	2	1870000
1183	2	1	766000
1184	1	0	2357000
1185	2	2	1425000
1186	0	0	2726000
1187	0	2	1870000
1188	0	1	-711000
1189	0	0	2726000
1190	0	1	-711000
1191	2	2	1425000
1192	2	2	1425000
1193	1	0	2357000
1194	2	0	210000
1195	0	0	2726000
1196	0	2	1870000
1197	2	1	766000
1198	0	0	2726000
1199	0	1	-711000
1200	1	2	1694500
1201	1	0	2357000
1202	0	1	-711000
1203	2	1	766000
1204	1	1	900500
1205	0	1	-711000
1206	2	2	1425000
1207	1	2	1694500
1208	0	1	-711000
1209	0	1	-711000
1210	1	0	2357000
1211	0	0	2726000
1212	2	0	210000
1213	1	1	900500
1214	2	0	210000
1215	1	1	900500
1216	0	0	2726000
1217	0	2	1870000
1218	2	1	766000
1219	2	0	210000
1220	0	1	-711000
1221	1	1	900500
1222	0	0	2726000
1223	1	1	900500
1224	1	0	2357000
1225	2	1	766000
1226	0	0	2726000
1227	0	1	-711000
1228	1	2	1694500
1229	1	0	2357000
1230	0	1	-711000
1231	2	1	766000
1232	2	0	210000
1233	0	0	2726000
1234	2	2	1425000
1235	0	1	-711000
1236	1	0	2357000
1237	0	0	2726000
1238	0	2	1870000
1239	2	1	766000
1240	2	0	210000
1241	1	0	2357000
1242	0	1	-711000
1243	2	2	1425000
1244	0	2	1870000
1245	2	2	1425000
1246	0	0	2726000
1247	0	0	2726000
1248	0	1	-711000
1249	0	0	2726000
1250	1	0	2357000
1251	2	2	1425000
1252	2	0	210000
1253	0	0	2726000
1254	2	0	210000
1255	2	0	210000
1256	0	2	1870000
1257	1	2	1694500
1258	2	1	766000
1259	0	2	1870000
1260	1	1	900500
1261	0	1	-711000
1262	1	0	2357000
1263	0	0	2726000
1264	0	1	-711000
1265	0	0	2726000
1266	1	1	900500
1267	1	1	900500
1268	1	2	1694500
1269	1	0	2357000
1270	2	2	1425000
1271	0	0	2726000
1272	0	1	-711000
1273	2	2	1425000
1274	0	2	1870000
1275	2	0	210000
1276	2	1	766000
1277	2	2	1425000
1278	0	1	-711000
1279	0	0	2726000
1280	2	2	1425000
1281	0	0	2726000
1282	1	2	1694500
1283	2	0	210000
1284	0	2	1870000
1285	2	2	1425000
1286	1	2	1694500
1287	2	0	210000
1288	1	0	2357000
1289	1	2	1694500
1290	2	2	1425000
1291	0	0	2726000
1292	0	0	2726000
1293	2	2	1425000
1294	2	0	210000
1295	1	1	900500
1296	0	2	1870000
1297	1	1	900500
1298	1	1	900500
1299	2	2	1425000
1300	2	0	210000
1301	1	0	2357000
1302	2	2	1425000
1303	0	1	-711000
1304	1	0	2357000
1305	1	2	1694500
1306	2	1	766000
1307	2	1	766000
1308	2	1	766000
1309	2	1	766000
1310	2	0	210000
1311	2	2	1425000
1312	1	1	900500
1313	1	2	1694500
1314	2	0	210000
1315	0	1	-711000
1316	1	2	1694500
1317	2	2	1425000
1318	0	0	2726000
1319	1	2	1694500
1320	0	0	2726000
1321	0	2	1870000
1322	0	2	1870000
1323	1	0	2357000
1324	2	1	766000
1325	2	1	766000
1326	1	0	2357000
1327	1	0	2357000
1328	2	1	766000
1329	0	2	1870000
1330	0	0	2726000
1331	1	1	900500
1332	1	0	2357000
1333	2	0	210000
1334	0	0	2726000
1335	1	2	1694500
1336	1	1	900500
1337	0	2	1870000
1338	1	2	1694500
1339	1	1	900500
1340	1	0	2357000
1341	0	1	-711000
1342	0	2	1870000
1343	1	2	1694500
1344	2	2	1425000
1345	2	0	210000
1346	2	1	766000
1347	2	2	1425000
1348	2	0	210000
1349	2	0	210000
1350	0	2	1870000
1351	1	2	1694500
1352	1	0	2357000
1353	1	2	1694500
1354	2	1	766000
1355	1	2	1694500
1356	2	0	210000
1357	1	0	2357000
1358	1	2	1694500
1359	2	0	210000
1360	0	2	1870000
1361	0	1	-711000
1362	1	2	1694500
1363	0	1	-711000
1364	1	0	2357000
1365	1	0	2357000
1366	2	0	210000
1367	0	1	-711000
1368	0	1	-711000
1369	1	1	900500
1370	0	0	2726000
1371	1	2	1694500
1372	2	1	766000
1373	1	1	900500
1374	0	0	2726000
1375	0	1	-711000
1376	0	2	1870000
1377	0	0	2726000
1378	2	2	1425000
1379	1	1	900500
1380	0	2	1870000
1381	0	0	2726000
1382	1	1	900500
1383	2	0	210000
1384	1	0	2357000
1385	1	1	900500
1386	1	1	900500
1387	2	0	210000
1388	1	2	1694500
1389	2	1	766000
1390	1	1	900500
1391	0	1	-711000
1392	0	1	-711000
1393	1	0	2357000
1394	0	0	2726000
1395	0	1	-711000
1396	2	1	766000
1397	2	0	210000
1398	0	2	1870000
1399	1	2	1694500
1400	0	0	2726000
1401	1	1	900500
1402	2	1	766000
