 IDnum	Installation_Type	Coal_Worker_Strike	Strike_Resolution	Strike_Intervention	Additional_Cost
107	1	1	0	1	-4.5e6
108	0	0	0	1	-3e6
109	1	1	0	1	-4.5e6
110	1	1	0	1	-4.5e6
111	0	0	0	1	-3e6
112	0	1	1	0	-3e6
113	0	1	0	1	-3e6
114	0	0	0	0	-3e6
115	1	0	0	1	-1.5e6
116	0	1	0	1	-3e6
117	0	0	0	0	-3e6
118	1	0	0	0	-1.5e6
119	1	0	0	1	-1.5e6
120	1	0	0	1	-1.5e6
121	0	0	0	0	-3e6
122	1	1	0	1	-4.5e6
123	0	1	0	1	-3e6
124	1	1	0	0	-3e6
125	0	0	0	1	-3e6
126	0	0	0	1	-3e6
127	0	1	0	0	-3e6
128	0	1	1	0	-3e6
129	1	1	0	0	-3e6
130	1	1	0	1	-4.5e6
131	0	1	0	0	-3e6
132	1	1	1	0	-5e6
133	0	1	0	0	-3e6
134	0	1	0	0	-3e6
135	1	1	0	0	-3e6
136	1	1	0	1	-4.5e6
137	0	1	0	0	-3e6
138	1	1	0	1	-4.5e6
139	0	0	1	0	-3e6
140	0	1	0	1	-3e6
141	1	1	0	0	-3e6
142	1	0	1	0	-1.5e6
143	0	0	1	0	-3e6
144	0	1	0	1	-3e6
145	0	0	0	1	-3e6
146	1	0	0	1	-1.5e6
147	1	1	0	0	-3e6
148	1	0	1	1	-1.5e6
149	1	1	0	1	-4.5e6
150	0	0	0	0	-3e6
151	0	1	0	1	-3e6
152	0	0	1	0	-3e6
153	1	0	0	1	-1.5e6
154	0	0	0	1	-3e6
155	1	1	0	0	-3e6
156	1	1	1	0	-5e6
157	0	1	0	0	-3e6
158	0	0	0	1	-3e6
159	1	0	0	1	-1.5e6
160	1	0	0	0	-1.5e6
161	0	1	0	1	-3e6
162	1	1	0	1	-4.5e6
163	1	1	1	0	-5e6
164	1	1	0	0	-3e6
165	1	1	0	1	-4.5e6
166	1	1	0	1	-4.5e6
167	1	0	0	1	-1.5e6
168	0	0	0	1	-3e6
169	1	1	0	0	-3e6
170	0	1	0	1	-3e6
171	0	1	1	0	-3e6
172	1	1	0	0	-3e6
173	0	0	1	0	-3e6
174	1	0	0	1	-1.5e6
175	1	1	0	1	-4.5e6
176	1	1	0	0	-3e6
177	0	1	0	1	-3e6
178	1	0	0	0	-1.5e6
179	0	1	0	0	-3e6
180	1	1	0	0	-3e6
181	0	0	0	1	-3e6
182	1	1	0	0	-3e6
183	1	1	1	0	-5e6
184	1	1	0	0	-3e6
185	0	1	0	0	-3e6
186	0	1	0	0	-3e6
187	1	1	0	1	-4.5e6
188	0	1	0	1	-3e6
189	0	1	0	1	-3e6
190	1	0	1	0	-1.5e6
191	0	1	0	0	-3e6
192	1	1	0	1	-4.5e6
193	1	1	0	0	-3e6
194	0	1	0	1	-3e6
195	1	0	0	1	-1.5e6
196	1	0	0	1	-1.5e6
197	0	0	0	1	-3e6
198	0	1	0	1	-3e6
199	1	1	0	0	-3e6
200	1	1	0	0	-3e6
201	1	0	0	0	-1.5e6
202	1	1	0	0	-3e6
203	0	1	0	1	-3e6
204	1	1	0	1	-4.5e6
205	1	1	1	0	-5e6
206	1	1	1	0	-5e6
207	1	1	0	1	-4.5e6
208	1	0	0	1	-1.5e6
209	0	1	0	0	-3e6
210	0	0	1	0	-3e6
211	1	0	0	1	-1.5e6
212	0	0	1	0	-3e6
213	0	0	0	0	-3e6
214	0	0	0	0	-3e6
215	1	0	0	0	-1.5e6
216	0	1	0	1	-3e6
217	0	0	0	1	-3e6
218	0	0	1	0	-3e6
219	1	0	1	0	-1.5e6
220	1	1	0	1	-4.5e6
221	1	0	0	1	-1.5e6
222	0	1	0	0	-3e6
223	0	1	0	0	-3e6
224	1	0	0	0	-1.5e6
225	1	1	0	1	-4.5e6
226	0	0	0	1	-3e6
227	0	0	0	0	-3e6
228	1	0	0	1	-1.5e6
229	1	0	0	0	-1.5e6
230	0	1	0	1	-3e6
231	0	0	1	0	-3e6
232	1	0	0	1	-1.5e6
233	0	0	0	1	-3e6
234	0	0	1	0	-3e6
235	1	1	0	1	-4.5e6
236	0	0	0	0	-3e6
237	1	1	0	0	-3e6
238	0	1	0	0	-3e6
239	1	1	1	0	-5e6
240	0	0	0	1	-3e6
241	0	0	0	0	-3e6
242	1	0	0	0	-1.5e6
243	1	1	0	1	-4.5e6
244	0	1	0	1	-3e6
245	1	1	0	0	-3e6
246	1	1	0	0	-3e6
247	0	0	1	1	-3e6
248	0	1	1	0	-3e6
249	0	0	0	1	-3e6
250	1	1	0	1	-4.5e6
251	0	0	0	1	-3e6
252	1	1	0	0	-3e6
253	1	1	1	0	-5e6
254	1	0	0	1	-1.5e6
255	1	0	1	0	-1.5e6
256	1	1	0	1	-4.5e6
257	0	0	1	0	-3e6
258	0	1	0	0	-3e6
259	0	1	0	0	-3e6
260	0	0	1	0	-3e6
261	0	1	0	1	-3e6
262	1	0	0	0	-1.5e6
263	1	0	0	0	-1.5e6
264	1	1	0	1	-4.5e6
265	1	1	1	0	-5e6
266	1	0	0	0	-1.5e6
267	0	1	0	1	-3e6
268	1	0	0	1	-1.5e6
269	0	0	1	0	-3e6
270	1	0	0	1	-1.5e6
271	1	1	0	1	-4.5e6
272	1	0	1	0	-1.5e6
273	1	0	0	1	-1.5e6
274	0	1	0	0	-3e6
275	0	0	0	1	-3e6
276	0	1	0	0	-3e6
277	0	1	0	1	-3e6
278	0	0	0	1	-3e6
279	1	1	0	0	-3e6
280	1	1	0	1	-4.5e6
281	1	1	0	0	-3e6
282	1	0	0	1	-1.5e6
283	0	0	0	1	-3e6
284	1	0	0	1	-1.5e6
285	1	0	0	1	-1.5e6
286	0	1	0	1	-3e6
287	1	0	0	1	-1.5e6
288	1	1	0	1	-4.5e6
289	1	1	0	1	-4.5e6
290	0	0	0	1	-3e6
291	1	0	0	0	-1.5e6
292	1	1	0	1	-4.5e6
293	0	0	0	0	-3e6
294	0	1	0	1	-3e6
295	1	0	0	0	-1.5e6
296	1	1	0	0	-3e6
297	0	0	0	1	-3e6
298	0	1	0	0	-3e6
299	0	1	0	0	-3e6
300	0	0	0	0	-3e6
301	1	1	0	0	-3e6
302	0	1	0	1	-3e6
303	0	1	1	0	-3e6
304	0	1	0	0	-3e6
305	0	0	1	0	-3e6
306	0	1	0	0	-3e6
307	1	1	0	1	-4.5e6
308	0	0	0	0	-3e6
309	1	1	0	1	-4.5e6
310	1	0	0	0	-1.5e6
311	0	1	0	0	-3e6
312	1	1	0	0	-3e6
313	1	1	0	1	-4.5e6
314	0	0	1	0	-3e6
315	0	1	0	1	-3e6
316	1	1	0	1	-4.5e6
317	1	0	0	1	-1.5e6
318	1	0	0	1	-1.5e6
319	0	0	1	1	-3e6
320	0	1	1	1	-3e6
321	1	0	0	1	-1.5e6
322	0	1	0	0	-3e6
323	0	1	0	1	-3e6
324	0	1	0	0	-3e6
325	0	1	0	1	-3e6
326	0	0	1	0	-3e6
327	0	0	0	1	-3e6
328	1	1	0	1	-4.5e6
329	0	1	0	1	-3e6
330	0	0	0	0	-3e6
331	1	1	0	1	-4.5e6
332	0	1	1	0	-3e6
333	1	0	1	0	-1.5e6
334	1	1	0	0	-3e6
335	0	1	1	0	-3e6
336	1	1	0	1	-4.5e6
337	1	1	1	0	-5e6
338	0	1	0	0	-3e6
339	0	0	0	1	-3e6
340	0	1	0	1	-3e6
341	1	1	0	1	-4.5e6
342	0	0	0	0	-3e6
343	1	1	0	1	-4.5e6
344	1	1	0	0	-3e6
345	1	1	0	0	-3e6
346	0	0	0	0	-3e6
347	1	1	0	0	-3e6
348	0	1	0	1	-3e6
349	1	0	0	1	-1.5e6
350	1	0	0	0	-1.5e6
351	0	0	1	0	-3e6
352	1	1	0	0	-3e6
353	1	1	0	0	-3e6
354	1	0	1	0	-1.5e6
355	1	0	0	0	-1.5e6
356	0	1	0	1	-3e6
357	0	1	0	1	-3e6
358	0	0	0	0	-3e6
359	0	1	0	1	-3e6
360	1	1	0	0	-3e6
361	1	1	0	1	-4.5e6
362	0	1	0	0	-3e6
363	1	0	1	0	-1.5e6
364	0	0	1	0	-3e6
365	0	0	0	0	-3e6
366	0	0	1	0	-3e6
367	1	1	0	1	-4.5e6
368	1	1	0	1	-4.5e6
369	1	0	0	1	-1.5e6
370	1	0	0	1	-1.5e6
371	0	1	0	1	-3e6
372	1	1	0	0	-3e6
373	1	0	0	0	-1.5e6
374	0	0	0	0	-3e6
375	1	1	0	0	-3e6
376	0	0	0	1	-3e6
377	1	0	0	0	-1.5e6
378	0	1	0	0	-3e6
379	1	1	0	1	-4.5e6
380	0	0	0	1	-3e6
381	1	0	1	0	-1.5e6
382	1	1	0	1	-4.5e6
383	1	1	0	1	-4.5e6
384	0	1	1	1	-3e6
385	1	1	0	0	-3e6
386	0	1	0	0	-3e6
387	0	1	0	0	-3e6
388	1	1	1	0	-5e6
389	1	1	0	1	-4.5e6
390	0	1	0	0	-3e6
391	1	1	0	1	-4.5e6
392	0	1	0	1	-3e6
393	1	1	0	0	-3e6
394	1	1	0	1	-4.5e6
395	0	0	0	1	-3e6
396	0	1	1	0	-3e6
397	1	0	1	0	-1.5e6
398	0	1	0	0	-3e6
399	0	1	0	0	-3e6
400	1	1	0	0	-3e6
401	0	1	0	1	-3e6
402	0	1	0	1	-3e6
403	0	0	0	0	-3e6
404	0	1	0	1	-3e6
405	0	1	0	1	-3e6
406	0	0	1	1	-3e6
407	1	1	0	0	-3e6
408	1	1	0	0	-3e6
409	1	0	0	0	-1.5e6
410	1	1	0	1	-4.5e6
411	1	0	0	1	-1.5e6
412	0	0	0	0	-3e6
413	1	1	0	1	-4.5e6
414	0	1	0	0	-3e6
415	1	1	0	1	-4.5e6
416	0	1	0	1	-3e6
417	0	1	1	0	-3e6
418	0	1	1	0	-3e6
419	1	1	0	1	-4.5e6
420	1	1	0	1	-4.5e6
421	0	0	1	0	-3e6
422	1	1	1	0	-5e6
423	1	1	0	1	-4.5e6
424	1	0	0	0	-1.5e6
425	0	1	1	0	-3e6
426	1	0	0	1	-1.5e6
427	0	1	0	0	-3e6
428	1	1	0	1	-4.5e6
429	0	1	0	0	-3e6
430	0	0	0	1	-3e6
431	0	1	0	0	-3e6
432	1	0	1	0	-1.5e6
433	0	0	0	1	-3e6
434	1	1	0	1	-4.5e6
435	0	0	0	1	-3e6
436	1	0	1	0	-1.5e6
437	1	1	0	0	-3e6
438	0	0	0	0	-3e6
439	1	1	0	1	-4.5e6
440	1	1	0	1	-4.5e6
441	1	1	0	1	-4.5e6
442	1	1	0	0	-3e6
443	1	1	1	0	-5e6
444	0	1	0	1	-3e6
445	0	1	0	0	-3e6
446	0	1	0	1	-3e6
447	1	0	0	1	-1.5e6
448	1	1	0	1	-4.5e6
449	0	0	0	0	-3e6
450	1	1	0	1	-4.5e6
451	1	1	1	0	-5e6
452	1	1	0	1	-4.5e6
453	1	1	0	1	-4.5e6
454	0	1	0	1	-3e6
455	1	0	0	1	-1.5e6
456	0	0	0	1	-3e6
457	1	0	0	1	-1.5e6
458	1	0	0	1	-1.5e6
459	1	1	0	0	-3e6
460	0	1	0	1	-3e6
461	0	1	0	1	-3e6
462	0	1	0	0	-3e6
463	1	0	0	0	-1.5e6
464	0	0	0	0	-3e6
465	0	0	0	1	-3e6
466	1	1	0	1	-4.5e6
467	0	0	0	1	-3e6
468	1	1	0	0	-3e6
469	0	0	0	1	-3e6
470	0	1	0	1	-3e6
471	1	1	0	0	-3e6
472	0	0	0	1	-3e6
473	1	0	0	1	-1.5e6
474	1	0	1	0	-1.5e6
475	1	0	0	0	-1.5e6
476	0	1	0	1	-3e6
477	1	1	0	1	-4.5e6
478	1	0	0	0	-1.5e6
479	0	1	0	1	-3e6
480	0	0	0	0	-3e6
481	1	1	0	1	-4.5e6
482	0	1	0	1	-3e6
483	0	1	0	1	-3e6
484	1	1	0	1	-4.5e6
485	0	1	0	0	-3e6
486	1	0	1	0	-1.5e6
487	1	0	1	0	-1.5e6
488	0	1	0	1	-3e6
489	0	0	1	1	-3e6
490	0	0	1	0	-3e6
491	0	0	0	0	-3e6
492	0	0	0	1	-3e6
493	0	1	0	1	-3e6
494	0	0	1	0	-3e6
495	1	1	0	1	-4.5e6
496	1	1	0	0	-3e6
497	0	1	1	0	-3e6
498	1	1	0	0	-3e6
499	0	1	1	1	-3e6
500	1	0	0	1	-1.5e6
501	1	1	0	0	-3e6
502	1	0	0	1	-1.5e6
503	1	1	1	0	-5e6
504	1	1	1	0	-5e6
505	0	1	0	1	-3e6
506	1	0	0	1	-1.5e6
507	0	0	0	0	-3e6
508	1	1	1	0	-5e6
509	0	1	0	1	-3e6
510	1	0	0	0	-1.5e6
511	1	1	0	0	-3e6
512	0	1	1	0	-3e6
513	1	0	1	1	-1.5e6
514	0	0	0	1	-3e6
515	1	1	0	1	-4.5e6
516	0	1	0	1	-3e6
517	0	1	0	0	-3e6
518	0	1	0	0	-3e6
519	1	1	0	1	-4.5e6
520	0	0	0	0	-3e6
521	0	1	0	0	-3e6
522	0	1	0	1	-3e6
523	1	1	0	1	-4.5e6
524	1	0	0	1	-1.5e6
525	0	0	0	1	-3e6
526	1	1	0	0	-3e6
527	0	0	0	0	-3e6
528	1	1	0	1	-4.5e6
529	1	1	0	0	-3e6
530	1	0	0	1	-1.5e6
531	0	1	0	0	-3e6
532	1	1	0	1	-4.5e6
533	0	1	1	0	-3e6
534	1	1	0	1	-4.5e6
535	0	1	0	0	-3e6
536	0	0	0	0	-3e6
537	0	1	0	1	-3e6
538	0	1	0	0	-3e6
539	0	0	0	0	-3e6
540	0	0	0	0	-3e6
541	0	1	0	1	-3e6
542	1	1	0	0	-3e6
543	1	1	0	0	-3e6
544	0	1	0	1	-3e6
545	0	1	1	0	-3e6
546	0	1	0	1	-3e6
547	1	0	0	1	-1.5e6
548	1	1	0	1	-4.5e6
549	1	0	1	0	-1.5e6
550	0	1	0	1	-3e6
551	1	0	1	0	-1.5e6
552	1	1	0	1	-4.5e6
553	0	1	1	0	-3e6
554	1	0	0	1	-1.5e6
555	1	1	0	1	-4.5e6
556	1	1	0	1	-4.5e6
557	0	0	0	1	-3e6
558	0	0	0	0	-3e6
559	1	1	1	1	-6.5e6
560	0	1	0	1	-3e6
561	0	0	0	1	-3e6
562	0	0	1	0	-3e6
563	0	1	0	1	-3e6
564	1	1	0	1	-4.5e6
565	0	1	0	0	-3e6
566	0	1	1	0	-3e6
567	0	1	1	1	-3e6
568	0	0	1	0	-3e6
569	0	1	0	1	-3e6
570	1	1	0	1	-4.5e6
571	0	0	1	1	-3e6
572	1	0	1	0	-1.5e6
573	1	0	0	1	-1.5e6
574	0	1	0	0	-3e6
575	0	0	0	1	-3e6
576	1	1	0	0	-3e6
577	0	1	0	1	-3e6
578	1	1	1	0	-5e6
579	0	1	0	1	-3e6
580	0	1	0	1	-3e6
581	0	1	1	0	-3e6
582	1	1	1	0	-5e6
583	0	1	1	0	-3e6
584	1	0	0	0	-1.5e6
585	0	1	0	1	-3e6
586	0	0	0	1	-3e6
587	0	0	0	0	-3e6
588	1	0	0	1	-1.5e6
589	1	1	0	1	-4.5e6
590	0	0	0	0	-3e6
591	0	1	0	1	-3e6
592	0	1	0	1	-3e6
593	0	1	0	1	-3e6
594	1	1	0	0	-3e6
595	0	1	0	0	-3e6
596	0	0	0	1	-3e6
597	0	1	0	1	-3e6
598	0	0	0	1	-3e6
599	1	1	0	1	-4.5e6
600	0	0	0	0	-3e6
601	1	1	0	1	-4.5e6
602	0	1	0	1	-3e6
603	0	0	0	1	-3e6
604	0	0	1	0	-3e6
605	0	1	0	0	-3e6
606	1	0	0	0	-1.5e6
607	0	1	1	0	-3e6
608	1	1	0	0	-3e6
609	1	1	0	1	-4.5e6
610	0	0	0	1	-3e6
611	0	0	0	1	-3e6
612	0	0	0	0	-3e6
613	1	1	0	1	-4.5e6
614	0	1	0	0	-3e6
615	1	1	0	0	-3e6
616	1	0	1	0	-1.5e6
617	0	1	0	0	-3e6
618	1	1	0	1	-4.5e6
619	1	1	0	1	-4.5e6
620	1	1	0	0	-3e6
621	1	0	0	0	-1.5e6
622	1	1	0	1	-4.5e6
623	1	1	0	1	-4.5e6
624	0	0	0	1	-3e6
625	0	0	1	0	-3e6
626	0	1	0	1	-3e6
627	1	0	1	0	-1.5e6
628	0	1	1	0	-3e6
629	0	0	0	0	-3e6
630	0	0	0	1	-3e6
631	1	1	0	1	-4.5e6
632	0	1	0	0	-3e6
633	0	0	1	0	-3e6
634	0	1	0	1	-3e6
635	1	1	0	0	-3e6
636	1	1	0	1	-4.5e6
637	0	0	0	1	-3e6
638	1	0	0	1	-1.5e6
639	0	1	0	1	-3e6
640	0	1	0	1	-3e6
641	1	1	0	1	-4.5e6
642	0	0	0	1	-3e6
643	1	0	1	0	-1.5e6
644	1	1	0	1	-4.5e6
645	1	1	0	0	-3e6
646	1	1	0	0	-3e6
647	1	0	0	0	-1.5e6
648	1	1	0	0	-3e6
649	0	1	1	0	-3e6
650	0	1	1	0	-3e6
651	1	1	1	0	-5e6
652	0	1	0	1	-3e6
653	1	1	0	1	-4.5e6
654	0	1	0	0	-3e6
655	0	0	0	0	-3e6
656	1	0	0	0	-1.5e6
657	1	1	0	1	-4.5e6
658	1	0	0	0	-1.5e6
659	0	0	0	1	-3e6
660	1	1	0	0	-3e6
661	0	0	0	1	-3e6
662	0	0	0	0	-3e6
663	1	0	0	1	-1.5e6
664	1	1	0	1	-4.5e6
665	1	0	0	0	-1.5e6
666	1	1	0	0	-3e6
667	1	1	0	1	-4.5e6
668	0	0	0	0	-3e6
669	1	1	1	0	-5e6
670	0	0	1	1	-3e6
671	0	0	0	0	-3e6
672	0	0	0	1	-3e6
673	1	1	0	1	-4.5e6
674	0	0	1	0	-3e6
675	1	1	1	0	-5e6
676	0	0	0	1	-3e6
677	1	1	0	0	-3e6
678	0	0	0	0	-3e6
679	1	0	1	1	-1.5e6
680	0	0	0	1	-3e6
681	0	0	1	0	-3e6
682	1	1	0	1	-4.5e6
683	0	0	0	0	-3e6
684	1	0	1	0	-1.5e6
685	0	1	0	1	-3e6
686	0	1	1	0	-3e6
687	1	0	0	1	-1.5e6
688	1	0	0	0	-1.5e6
689	1	0	1	1	-1.5e6
690	1	0	0	1	-1.5e6
691	1	1	0	0	-3e6
692	0	1	0	1	-3e6
693	0	1	0	0	-3e6
694	1	0	0	1	-1.5e6
695	1	1	0	0	-3e6
696	1	1	0	1	-4.5e6
697	1	0	0	1	-1.5e6
698	1	0	1	0	-1.5e6
699	0	1	0	1	-3e6
700	1	1	0	0	-3e6
701	0	0	0	0	-3e6
702	1	1	0	1	-4.5e6
703	0	1	0	1	-3e6
704	0	0	0	1	-3e6
705	0	1	1	0	-3e6
706	1	1	0	1	-4.5e6
707	0	1	0	1	-3e6
708	1	0	0	0	-1.5e6
709	0	1	0	0	-3e6
710	1	0	0	1	-1.5e6
711	1	1	0	1	-4.5e6
712	0	1	1	0	-3e6
713	1	1	0	0	-3e6
714	1	1	0	0	-3e6
715	1	0	0	1	-1.5e6
716	0	0	0	1	-3e6
717	1	0	0	0	-1.5e6
718	1	1	1	0	-5e6
719	1	0	0	1	-1.5e6
720	1	1	0	0	-3e6
721	0	1	0	1	-3e6
722	1	1	0	0	-3e6
723	0	1	0	1	-3e6
724	1	1	0	1	-4.5e6
725	1	1	0	1	-4.5e6
726	1	0	0	1	-1.5e6
727	1	0	0	1	-1.5e6
728	1	1	0	1	-4.5e6
729	1	1	0	0	-3e6
730	0	1	1	1	-3e6
731	1	1	0	1	-4.5e6
732	1	0	0	0	-1.5e6
733	0	0	0	0	-3e6
734	0	0	1	0	-3e6
735	0	1	0	1	-3e6
736	0	0	0	0	-3e6
737	0	1	0	1	-3e6
738	1	1	0	0	-3e6
739	1	1	0	0	-3e6
740	0	1	0	0	-3e6
741	0	0	0	1	-3e6
742	0	1	0	1	-3e6
743	1	1	0	0	-3e6
744	0	0	0	1	-3e6
745	1	0	0	1	-1.5e6
746	1	0	0	0	-1.5e6
747	0	0	1	0	-3e6
748	0	1	0	1	-3e6
749	0	0	0	1	-3e6
750	1	1	0	1	-4.5e6
751	1	1	0	1	-4.5e6
752	0	0	0	0	-3e6
753	1	0	0	1	-1.5e6
754	0	0	0	0	-3e6
755	0	0	0	0	-3e6
756	1	0	1	0	-1.5e6
757	0	0	0	1	-3e6
758	1	1	0	0	-3e6
759	0	0	0	1	-3e6
760	1	1	0	1	-4.5e6
761	1	0	1	1	-1.5e6
762	1	1	1	0	-5e6
763	1	0	0	0	-1.5e6
764	1	1	0	1	-4.5e6
765	1	0	0	0	-1.5e6
766	1	1	0	0	-3e6
767	0	1	0	1	-3e6
768	1	0	0	0	-1.5e6
769	0	1	0	1	-3e6
770	0	1	0	0	-3e6
771	1	1	1	0	-5e6
772	0	0	0	0	-3e6
773	1	1	0	1	-4.5e6
774	1	1	0	0	-3e6
775	0	1	1	0	-3e6
776	1	0	0	1	-1.5e6
777	0	1	1	1	-3e6
778	1	1	0	0	-3e6
779	0	1	0	0	-3e6
780	1	0	0	0	-1.5e6
781	1	1	0	1	-4.5e6
782	1	0	0	0	-1.5e6
783	0	0	1	0	-3e6
784	1	1	0	1	-4.5e6
785	0	0	0	0	-3e6
786	1	1	1	0	-5e6
787	0	1	0	1	-3e6
788	0	0	0	0	-3e6
789	0	1	0	0	-3e6
790	1	1	0	1	-4.5e6
791	0	1	1	0	-3e6
792	1	1	0	0	-3e6
793	0	0	1	0	-3e6
794	1	1	0	0	-3e6
795	0	1	1	0	-3e6
796	1	1	0	0	-3e6
797	0	1	0	0	-3e6
798	0	0	0	1	-3e6
799	0	0	0	0	-3e6
800	0	0	0	0	-3e6
801	0	0	0	0	-3e6
802	1	0	1	1	-1.5e6
803	0	1	1	1	-3e6
804	1	1	0	1	-4.5e6
805	0	0	0	1	-3e6
806	1	1	0	0	-3e6
807	0	0	0	1	-3e6
808	1	1	0	0	-3e6
809	1	1	0	1	-4.5e6
810	1	0	0	0	-1.5e6
811	0	0	0	1	-3e6
812	0	0	1	0	-3e6
813	1	1	0	0	-3e6
814	0	0	0	1	-3e6
815	0	1	0	0	-3e6
816	1	1	0	1	-4.5e6
817	1	1	0	0	-3e6
818	1	0	0	0	-1.5e6
819	1	1	0	0	-3e6
820	0	1	0	1	-3e6
821	0	1	0	0	-3e6
822	1	0	0	0	-1.5e6
823	0	1	0	1	-3e6
824	1	1	1	0	-5e6
825	0	0	0	0	-3e6
826	1	0	1	0	-1.5e6
827	0	0	1	0	-3e6
828	1	1	0	0	-3e6
829	1	1	0	0	-3e6
830	0	0	0	0	-3e6
831	0	1	0	1	-3e6
832	1	0	1	0	-1.5e6
833	0	1	0	1	-3e6
834	0	1	0	1	-3e6
835	1	1	0	1	-4.5e6
836	0	0	0	0	-3e6
837	1	0	0	0	-1.5e6
838	0	1	0	1	-3e6
839	0	0	0	1	-3e6
840	1	1	0	0	-3e6
841	0	1	0	1	-3e6
842	0	0	1	0	-3e6
843	1	1	0	1	-4.5e6
844	0	1	0	0	-3e6
845	1	0	0	1	-1.5e6
846	0	1	0	1	-3e6
847	0	1	1	1	-3e6
848	1	0	0	1	-1.5e6
849	0	1	0	0	-3e6
850	1	0	0	0	-1.5e6
851	1	1	0	1	-4.5e6
852	1	1	0	0	-3e6
853	1	0	0	1	-1.5e6
854	1	0	0	1	-1.5e6
855	1	1	0	0	-3e6
856	0	1	1	0	-3e6
857	0	0	0	1	-3e6
858	0	1	0	1	-3e6
859	0	0	0	1	-3e6
860	1	1	0	1	-4.5e6
861	1	0	0	1	-1.5e6
862	0	1	0	1	-3e6
863	0	1	1	1	-3e6
864	1	1	1	0	-5e6
865	0	1	0	1	-3e6
866	1	1	1	0	-5e6
867	1	1	0	1	-4.5e6
868	0	1	1	1	-3e6
869	1	1	0	0	-3e6
870	0	1	0	1	-3e6
871	0	1	0	0	-3e6
872	0	1	0	1	-3e6
873	0	1	1	0	-3e6
874	0	1	0	1	-3e6
875	0	1	0	1	-3e6
876	0	1	0	1	-3e6
877	0	1	0	0	-3e6
878	1	1	0	1	-4.5e6
879	0	1	1	1	-3e6
880	0	1	0	1	-3e6
881	1	1	0	0	-3e6
882	1	1	0	1	-4.5e6
883	0	1	0	1	-3e6
884	0	1	0	1	-3e6
885	1	0	0	0	-1.5e6
886	1	1	0	1	-4.5e6
